# jar	class	constant_pool_index	old_base64	new_base64
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/FighterBlueprintItemPlugin.class	276	RmlnaHRlcnM6	7KCE7Yis6riwOg==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/FighterBlueprintItemPlugin.class	310	QWxyZWFkeSBrbm93bg==	7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/FighterBlueprintItemPlugin.class	315	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/FighterBlueprintItemPlugin.class	351	OiBibHVlcHJpbnQgYWxyZWFkeSBrbm93bg==	OiDsnbTrr7gg7JWM66Ck7KeEIOu4lOujqO2UhOumsO2KuA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/FighterBlueprintItemPlugin.class	374	QWNxdWlyZWQgYmx1ZXByaW50OiA=	67iU66Oo7ZSE66aw7Yq4IO2ajeuTnTo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/GenericSpecialItemPlugin.class	189	UmVxdWlyZXM6	7ZWE7JqUIOyhsOqxtDo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/GenericSpecialItemPlugin.class	265	RGVzaWduIHR5cGU6IA==	7ISk6rOEIOycoO2YlTog
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/GenericSpecialItemPlugin.class	285	SW5zdGFsbGVkIGluOg==	7J6l7LCpIOychOy5mDo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/IndustryBlueprintItemPlugin.class	245	QWxyZWFkeSBrbm93bg==	7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/IndustryBlueprintItemPlugin.class	250	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/IndustryBlueprintItemPlugin.class	298	OiBibHVlcHJpbnQgYWxyZWFkeSBrbm93bg==	OiDsnbTrr7gg7JWM66Ck7KeEIOu4lOujqO2UhOumsO2KuA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/IndustryBlueprintItemPlugin.class	320	QWNxdWlyZWQgYmx1ZXByaW50OiA=	67iU66Oo7ZSE66aw7Yq4IO2ajeuTnTo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/JanusDevicePlugin.class	101	UmlnaHQtY2xpY2sgdG8gaW50ZWdyYXRlIHRoZSA=	7Ya17ZWp7ZWY66Ck66m0IOyasO2BtOumre2VmOyEuOyalCA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/JanusDevicePlugin.class	110	IHdpdGggeW91ciBmbGVldA==	64u57Iug7J2YIO2VqOuMgOyZgCDtlajqu5g=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/JanusDevicePlugin.class	207	IGludGVncmF0ZWQgLSBjYW4gdHJhbnNpdCBhY3RpdmUgZ2F0ZXM=	IO2Gte2VqeuQqCAtIO2ZnOyEsSDqsozsnbTtirjrpbwg7Ya16rO87ZWgIOyImCDsnojsirXri4jri6Q=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin.class	173	IC0gTW9kc3BlYw==	IC0g66qo65Oc7Iqk7Y6Z
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin.class	305	QWxyZWFkeSBrbm93bg==	7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin.class	307	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin.class	350	OiBhbHJlYWR5IGtub3du	OiDsnbTrr7gg7JWM6rOgIOyeiOydjA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ModSpecItemPlugin.class	372	QWNxdWlyZWQgaHVsbCBtb2Q6IA==	7ISg7LK0IOqwnOyhsCDtmo3rk506
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	282	U2hpcCBodWxsczo=	7ISg7LK0Og==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	293	RmlnaHRlcnM6	7KCE7Yis6riwOg==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	305	QWxsIGJsdWVwcmludHMgaW4gcGFja2FnZSBhbHJlYWR5IGtub3du	7Yyo7YKk7KeA7J2YIOuqqOuToCDshKTqs4Trj4Trpbwg7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	313	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	405	IHNoaXAgYmx1ZXByaW50cw==	7ISg67CVIOyEpOqzhOuPhA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	420	IHdlYXBvbiBibHVlcHJpbnRz	66y06riwIOyEpOqzhOuPhA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/MultiBlueprintItemPlugin.class	422	IGZpZ2h0ZXIgYmx1ZXByaW50cw==	7KCE7Yis6riwIOyEpOqzhOuPhA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShipBlueprintItemPlugin.class	286	U2hpcCBodWxsczo=	7ISg7LK0Og==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShipBlueprintItemPlugin.class	327	QWxyZWFkeSBrbm93bg==	7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShipBlueprintItemPlugin.class	332	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShipBlueprintItemPlugin.class	369	OiBibHVlcHJpbnQgYWxyZWFkeSBrbm93bg==	OiDsnbTrr7gg7JWM66Ck7KeEIOu4lOujqO2UhOumsO2KuA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShipBlueprintItemPlugin.class	392	QWNxdWlyZWQgYmx1ZXByaW50OiA=	67iU66Oo7ZSE66aw7Yq4IO2ajeuTnTo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShroudedHullmodItemPlugin.class	103	UmlnaHQtY2xpY2sgdG8gYW5hbHl6ZSB0aGUg	67aE7ISd7ZWY66Ck66m0IOyasO2BtOumre2VmOyEuOyalCA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShroudedSubstratePlugin.class	133	UmlnaHQtY2xpY2sgdG8gbWFudWZhY3R1cmUgYSB3ZWFwb24=	7Jqw7YG066at7ZWY7JesIOustOq4sCDsoJzsobA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/ShroudedSubstratePlugin.class	137	UmlnaHQtY2xpY2sgdG8gYW5hbHl6ZSB0aGUg	67aE7ISd7ZWY66Ck66m0IOyasO2BtOumre2VmOyEuOyalCA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WeaponBlueprintItemPlugin.class	289	QWxyZWFkeSBrbm93bg==	7J2066+4IOyVjOqzoCDsnojsnYw=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WeaponBlueprintItemPlugin.class	294	UmlnaHQtY2xpY2sgdG8gbGVhcm4=	7Jqw7YG066at7ZWY7JesIO2VmeyKtQ==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WeaponBlueprintItemPlugin.class	330	OiBibHVlcHJpbnQgYWxyZWFkeSBrbm93bg==	OiDsnbTrr7gg7JWM66Ck7KeEIOu4lOujqO2UhOumsO2KuA==
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WeaponBlueprintItemPlugin.class	353	QWNxdWlyZWQgYmx1ZXByaW50OiA=	67iU66Oo7ZSE66aw7Yq4IO2ajeuTnTo=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WormholeScannerPlugin.class	100	UmlnaHQtY2xpY2sgdG8gaW50ZWdyYXRlIHRoZSA=	7Ya17ZWp7ZWY66Ck66m0IOyasO2BtOumre2VmOyEuOyalCA=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WormholeScannerPlugin.class	109	IHdpdGggeW91ciBmbGVldA==	64u57Iug7J2YIO2VqOuMgOyZgCDtlajqu5g=
starfarer.api.jar	com/fs/starfarer/api/campaign/impl/items/WormholeScannerPlugin.class	197	IGludGVncmF0ZWQgLSBjYW4gdHJhbnNpdCB3b3JtaG9sZXM=	IO2Gte2VqeuQqCAtIOybnO2ZgOydhCDthrXqs7ztlaAg7IiYIOyeiOyKteuLiOuLpA==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider$1.class	30	TWluaW1hbGlzdGljIGN1c3RvbSBkaWFsb2cgaW1wbGVtZW50YXRpb24u	7LWc7IaM7ZWc7J2YIOy7pOyKpO2FgCDrjIDtmZQg6rWs7ZiELg==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider$1.class	63	Y3VzdG9tRGlhbG9nQ29uZmlybSgpIGNhbGxlZA==	Y3VzdG9tRGlhbG9nQ29uZmlybSgpIO2YuOy2nOuQqA==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider$1.class	72	Y3VzdG9tRGlhbG9nQ2FuY2VsKCkgY2FsbGVk	Y3VzdG9tRGlhbG9nQ2FuY2VsKCkg7Zi47Lac65Co
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider$2.class	35	VGVzdCBhY3Rpb24gdGhhdCBjb3N0cyBvbmUgc3RvcnkgcG9pbnQu	7Iqk7Yag66asIO2PrOyduO2KuCDtlZjrgpjrpbwg7IaM67mE7ZWY64qUIO2FjOyKpO2KuCDtlonrj5ku
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	74	SW50ZXJhY3Rpb24gZGlhbG9nIHdpdGggcGx1Z2lu	7ZSM65+s6re47J246rO87J2YIOyDge2YuOyekeyaqSDrjIDtmZQ=
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	93	SW50ZXJhY3Rpb24gZGlhbG9nIHdpdGggcnVsZSB0cmlnZ2Vy	6rec7LmZIO2KuOumrOqxsOyZgOydmCDsg4HtmLjsnpHsmqkg64yA7ZmU
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	98	Q3VzdG9tIGRpYWxvZyBwbHVnaW4=	7Luk7Iqk7YWAIOuMgO2ZlCDtlIzrn6zqt7jsnbg=
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	103	U3RvcnkgcG9pbnQgYWN0aW9uIGRpYWxvZw==	7Iqk7Yag66asIO2PrOyduO2KuCDtlonrj5kg64yA7ZmU
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	111	VGFrZSBhbiBpbW1lZGlhdGUgYWN0aW9u	7KaJ7IucIO2WieuPmSDst6jtlZjquLA=
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	116	RGlzYWJsZWQgb3B0aW9u	67mE7Zmc7ISx7ZmU65CcIOyYteyFmA==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	136	VGhpcyBvcHRpb24gc2hvd3MgYSBzdGFuZGFyZCBpbnRlcmFjdGlvbiBkaWFsb2cgd2l0aCBhIGN1c3RvbSBwbHVnaW4uIEluIHRoaXMgY2FzZSwgdGhlIGRpYWxvZyB1c2VkIGlzIHRoZSBQbGFuZXRJbnRlcmFjdGlvbkRpYWxvZ1BsdWdpbkltcGwsIHdpdGggQ29ydnVzIC0gdGhlIHN0YXIgLSBhcyB0aGUgdGFyZ2V0Lg==	7J20IOyYteyFmOydgCDsu6TsiqTthYAg7ZSM65+s6re47J247J2EIOyCrOyaqe2VmOuKlCDtkZzspIAg7IOB7Zi47J6R7JqpIOuMgO2ZlOulvCDtkZzsi5ztlanri4jri6QuIOydtCDqsr3smrAg7L2U66W067aA7IqkKOuzhCnrpbwg64yA7IOB7Jy866GcIFBsYW5ldEludGVyYWN0aW9uRGlhbG9nUGx1Z2luSW1wbOydhCDsgqzsmqntlanri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	144	VGhpcyBvcHRpb24gc2hvd3MgYSBydWxlLWRyaXZlbiBpbnRlcmFjdGlvbiBkaWFsb2cuIEluIHRoaXMgY2FzZSwgdGhlIGRpYWxvZyB0YXJnZXRzIHRoZSBBc2hhcnUgVGVycmFmb3JtaW5nIFBsYXRmb3JtIGFuZCBmaXJlcyB0aGUgT3BlbkludGVyYWN0aW9uRGlhbG9nIHRyaWdnZXIgdG8gc3RhcnQgdGhlIGludGVyYWN0aW9uLg==	7J20IOyYteyFmOydgCDqt5zsuZkg6riw67CYIOyDge2YuOyekeyaqSDrjIDtmZTrpbwg7ZGc7Iuc7ZWp64uI64ukLiDsnbQg6rK97JqwIOyVhOyDpOujqCDthYzrnbztj6zrsI0g7ZSM656r7Y+87J2EIOuMgOyDgeycvOuhnCDtlZjsl6wgT3BlbkludGVyYWN0aW9uRGlhbG9nIO2KuOumrOqxsOulvCDsi6Ttlontlanri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	146	VGhpcyBvcHRpb24gc2hvd3MgYSBjdXN0b20gZGlhbG9nIGRyaXZlbiBieSBhIEN1c3RvbURpYWxvZ0RlbGVnYXRlIGltcGxlbWVudGF0aW9uLg==	7J20IOyYteyFmOydgCBDdXN0b21EaWFsb2dEZWxlZ2F0ZSDqtaztmITsnLzroZwg6rWs64+Z65CY64qUIOy7pOyKpO2FgCDrjIDtmZTrpbwg7ZGc7Iuc7ZWp64uI64ukLg==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	148	VGhpcyBvcHRpb24gYnJpbmdzIHVwIGEgZGlhbG9nIHdoZXJlIHRoZSBwbGF5ZXIgbWF5IHNwZW5kIHNvbWUgbnVtYmVyIG9mIHN0b3J5IHBvaW50cyB0byBwZXJmb3JtIGFuIGFjdGlvbiwgYW5kIHBvc3NpYmx5IHJlY2VpdmUgYm9udXMgZXhwZXJpZW5jZS4=	7J20IOyYteyFmOydgCDtlIzroIjsnbTslrTqsIAg7Iqk7Yag66asIO2PrOyduO2KuOulvCDsgqzsmqntlZjsl6wg7ZaJ64+Z7J2EIOyImO2Wie2VmOqzoCDrs7TrhIjsiqQg6rK97ZeY7LmY66W8IOuwm+ydhCDsiJgg7J6I64qUIOuMgO2ZlOulvCDtkZzsi5ztlanri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	150	VGhpcyBvcHRpb24gd2lsbCBub3Qgc2hvdyBhIGRpYWxvZyBidXQgaW5zdGVhZCBwcmludHMgc29tZSB0ZXh0IHRvIHN0YW5kYXJkIG91dC4=	7J20IOyYteyFmOydgCDrjIDtmZTrpbwg7ZGc7Iuc7ZWY7KeAIOyViuqzoCDtkZzspIAg7Lac66Cl7JeQIO2FjeyKpO2KuOulvCDstpzroKXtlanri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	152	VGhpcyBvcHRpb24gaXMgZGlzYWJsZWQu	7J20IOyYteyFmOydgCDruYTtmZzshLHtmZTrkJjslrQg7J6I7Iq164uI64ukLg==
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	224	UGVyZm9ybWVkIGEgdGVzdCBhY3Rpb24gaW4gVGVzdEluZHVzdHJ5T3B0aW9uUHJvdmlkZXI=	VGVzdEluZHVzdHJ5T3B0aW9uUHJvdmlkZXLsl5DshJwg7YWM7Iqk7Yq4IO2WieuPmeydhCDsiJjtlontlojsirXri4jri6Q=
starfarer.api.jar	com/fs/starfarer/api/campaign/listeners/TestIndustryOptionProvider.class	281	SW5mb3JtYXRpb24gYWJvdXQgY2hhbmdlcyBtYWRlIHRvIHRoZSB0aGlzIGluZHVzdHJ5IGJ5IGFueSBvZiB0aGUgY3VzdG9tIG9wdGlvbnMgd291bGQgZ28gaGVyZS4=	7Luk7Iqk7YWAIOyYteyFmOyXkCDsnZjtlbQg7J20IOyCsOyXheyXkCDsoIHsmqnrkJwg67OA6rK9IOyCrO2VreyXkCDrjIDtlZwg7KCV67O06rCAIOyXrOq4sOyXkCDtkZzsi5zrkKnri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$1.class	41	VGhpcyBvZmZpY2VyIGhhcyB0aGUgZm9sbG93aW5nIHNraWxsczo=	7J20IOyepeq1kOuKlCDri6TsnYwg7Iqk7YKs7J2EIOuztOycoO2VmOqzoCDsnojsirXri4jri6Q6
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$1.class	65	VGhleSB3aWxsIGxvc2UgdGhlIGZvbGxvd2luZyBza2lsbHM6	64uk7J2MIOyKpO2CrOydhCDsnoPqsowg65Cp64uI64ukOg==
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$1.class	113	VGhleSB3aWxsIGxvc2UgdGhlIGVsaXRlIGVmZmVjdHMgb2YgdGhlIGZvbGxvd2luZyBza2lsbHM6	64uk7J2MIOyKpO2CrOydmCDsl5jrpqztirgg7Zqo6rO866W8IOyeg+qyjCDrkKnri4jri6Q6
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$2.class	55	VGhpcyBvZmZpY2VyJ3MgcGF5IHdpbGwgYmUgaW5jcmVhc2VkIGZyb20gJXMgdG8gJXMgcGVyIG1vbnRoLCBhbmQgdGhleSB3aWxsIHdhbnQgdG8gbGVhdmUgYWZ0ZXIgJXMgZGF5cywgd2hlbiB0aGVpciBjb250cmFjdCBleHBpcmVzLg==	7J20IOyepeq1kOydmCDquInsl6zqsIAg7JuUICVz7JeQ7IScICVz66GcIOyduOyDgeuQmOupsCwg6rOE7JW9IOunjOujjCDtm4QgJXPsnbzsnbQg7KeA64KY66m0IOuWoOuCmOqzoCDsi7bslrTtlaAg6rKD7J6F64uI64ukLg==
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$2.class	84	RXh0ZW5kaW5nIHRoZSBjb250cmFjdCBiZXlvbmQgdGhhdCB3aWxsIHJlcXVpcmUgYSAlcy4=	6re4IOydtO2bhCDqs4Tslb3snYQg7Jew7J6l7ZWY66Ck66m0ICVz6rCAIO2VhOyalO2VqeuLiOuLpC4=
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect$2.class	101	IHBvaW50	IO2PrOyduO2KuA==
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	355	T2ZmaWNlcnM=	7J6l6rWQ
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	377	T2ZmaWNlcnMgd2hvc2Ugc2tpbGxzIHRoYXQgZXhjZWVkIHRoZSBuZXcgbGltaXRzIHdpbGwgaGF2ZSB0aGVpciBleGNlc3Mgc2tpbGxzIHJlbW92ZWQsIG9yIGJlY29tZSBtZXJjZW5hcmllcyBvbiBhIHRlbXBvcmFyeSBjb250cmFjdC4gT2ZmaWNlcnMgdGhhdCBhbHJlYWR5IGhhZCB0aG9zZSBraW5kcyBvZiBza2lsbHMgd2hlbiBhY3F1aXJlZCB3aWxsIG5vdCBiZSBhZmZlY3RlZC4=	7IOIIO2VnOuPhOulvCDstIjqs7ztlZjripQg7Iqk7YKs7J2EIOqwgOynhCDsnqXqtZDripQg7LSI6rO8IOyKpO2CrOydtCDsoJzqsbDrkJjqsbDrgpgg7J6E7IucIOqzhOyVvSDsmqnrs5HsnbQg65Cp64uI64ukLiDtmo3rk50g7IucIOydtOuvuCDtlbTri7kg7Iqk7YKs7J2EIOuztOycoO2VmOqzoCDsnojrjZgg7J6l6rWQ64qUIOyYge2Wpeuwm+yngCDslYrsirXri4jri6Qu
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	383	ZXhjZXNzIHNraWxscyByZW1vdmVk	7LSI6rO8IOyKpO2CrCDsoJzqsbDrkKg=
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	420	LCB1bmFzc2lnbmVkLCB3aWxsLi4u	LCDrr7jrsLDsoJUg7IOB7YOc7J2YIOyepeq1kOuKlC4uLg==
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	422	LCBjb21tYW5kaW5nIHRoZSA=	LCDsp4DtnJgg7KSR7J24IA==
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	438	KSwgd2lsbC4uLg==	KSwg7KCB7Jqp65Cp64uI64ukLi4u
starfarer.api.jar	com/fs/starfarer/api/characters/SkillsChangeOfficerEffect.class	440	QmVjb21lIGEgbWVyY2VuYXJ5LCBkcmF3aW5nIGhpZ2hlciBwYXkgb24gYSBuZXcgY29udHJhY3Q=	7Jqp67OR7J20IOuQmOyWtCDsg4gg6rOE7JW97JeQ7IScIOuNlCDrhpLsnYAg6riJ7Jes66W8IOuwm+ycvOyEuOyalA==
