id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
missile_specialization,미사일 전문화,100,5,4,2,내 동료들은 그들의 기발함을 좋아하지 않습니다. 착륙에서 살아남을 필요가 없기 때문에 모든 규칙을 깨기 위해 이 모든 작은 우주선을 얻게 됩니다.,"Exit interview of K. Astraia, former ordnance designer, Culann Starforge",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,전술 훈련,500,1,0,,완벽해. 다시.,"Cameron Fourth-Phobos, Coatl Gunnery Range",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,조직 기동,520,2,0,,"함장님— 적 함선 전속 접근 중. 대형입니다. 둘 카운트. 아니, 셋. 더... 너무 많아요! 고에너지 신호 감지. 6시 방향 접촉.","Audio archive from CIC of HSS Ceraon, recovered 189.09.13",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,울프팩 전술,530,2,0,,"한 마음으로 움직이는 함대는, 후방 고위 장교들이 그토록 아끼는 예쁜 대형을 목 잘리기를 구걸하며 뒹구는 짐승으로 만든다. 우리가 다시 늑대가 될 수 있도록 사냥개를 풀어주어라.","Warlord Kanta, quoted in ""My Year With The Pirate Queen""",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,선원 훈련,540,2,0,,"네 꼴이 뻔히 보여. 부츠에 흙 묻은 채로 계약서 싸인하고, 스페이서 다 된 줄 알고 있지. 헤게모니 전쟁 선전 홀로영상 너무 많이 봤지, 그렇지? 잘 들어: 용기가 능력이 아니야. 영웅 놀음 하다간 우리 다 죽어. 조심하고 신중하게 일하는 게 일을 해내는 방법이야.","Chaiya Mimas, Tri-Tachyon fleet division, job training introduction",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,전투기 업링크,545,3,0,,"파이터 조크들은 자신들을 중심으로 전설을 만들어내지만, 그것들은 나 혼자 지휘하는 창끝에 불과합니다.","Commodore Jensulte of the Hegemony Navy, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,항공 전대,550,3,0,,통계에 따르면 그들은 여섯 번의 임무를 수행하기 전에 집중 포화 속에서 증발한다고 합니다. 그래도 우리는 여전히 그들이 되고 싶어합니다. 일단 조종석에 앉으면 그들은 우리 중 자신의 운명을 스스로 통제할 수 있는 유일한 사람입니다.,"Nachiketa Portside Interview Project, Ep.4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,장교 훈련,560,4,3,,"그들은 '상인, 밀수업자, 해적의 오합지졸 집단'일지도 모르지만, 그들에게 싸울 만한 것을 주면 그들이 당신을 놀라게 할 것이라고 생각합니다.","Navarch Nurul Park, comment upon integration of the Cibolan navy",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,장교 관리,570,4,3,,전망이 암울했기 때문에 용병 대장들에게 전투 보너스를 두 배로 약속했습니다. 모든 사상자를 냈는데도 그 중 절반만 배상하면 됐어요. 잘 됐어요.,"Carson Kang, GM of Valhalla fleet division, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,최고 중의 최고,580,5,4,2,"아르테미시아, 우리가 가진 건 돈으로 살 수 없는 거야.",Orcus Rao at the negotiations ending the Second AI War (apocryphal),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,지원 교리,590,5,4,2,모든 생도가 재능이나 기술을 갖고 있는 것은 아니며 심지어 두 개의 뇌 세포를 함께 사용할 수 있는 것도 아니지만 지옥과 방사선으로 인해 그들은 규율을 갖고 졸업할 것입니다.,"unattributed comment by Coatl Academy staff, COMSEC archives",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,병력 집중,590,5,4,2,내가 선택한 시간과 장소에서 승리를 거두면 역사는 한두 행성의 희생을 면제해 줄 것입니다.,"Fleet Admiral Andrada, address to the Hegemony Strategic Assembly ",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,항법,1000,1,0,0,여기서 충분한 시간을 보내면 이것이 제2의 천성이 됩니다. 꿈을 꿀 때 나는 이렇게 움직인다. 우리 모두가 그것을 이해하는 것은 아닙니다. 많은 사람들이 그렇습니다.,"Nachiketa Portside Interview Project, Ep.2",,,,,graphics/icons/skills/navigation.png,
sensors,센서,1010,1,0,0,"봤구나, 작은 물고기야!","Comm buffer of ISS Green Flash, recovered in orbit of Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,포술 임플란트,1020,2,1,0,시간이 지남에 따라 임플란트를 통해 제공되는 증강 현실은 정상적인 감각 입력과 구별하기 어려워질 수 있습니다. 정신 장교는 다음 기준에 따라 포수에게 증강 해리 장애의 징후가 있는지 정기적으로 확인해야 합니다.,A New Leadership Framework: Manual for Officers of the Hegemony,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,에너지 무기 마스터리,1030,2,1,0,천사의 눈은 창조의 첫 순간에 자비로우신 하나님께서 숨겨두셨던 작은 장소에서 발견되었습니다. 그리하여 그 비밀은 무지하고 잔인한 자들이 끔찍하고 불 같은 분노를 터뜨릴 수 있도록 드러났습니다. 우리는 한탄합니다.,Sacred Texts of Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,전자전,1040,4,2,0,오류. 401 // 연결이 거부되었습니다. [다시 시도하시겠습니까?] 오류. 401 // 연결이 거부되었습니다. [다시 시도하시겠습니까?] 오류. 401 // 연결이 거부되었습니다. [다시 시도하시겠습니까?],"Celadon Immeasurable, alpha",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,플럭스 규제,1060,4,2,0,"경고: 이러한 설정을 변경함으로써 사용자는 장비 손상, 부상, 사망 또는 기타 변칙적인 시공간 효과나 효과에 대해 Tri-Tachyon Corporation의 책임을 포기하게 됩니다. 계속하시겠습니까?","Tri-Tachyon Corporation, standard license",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,인공두뇌 증강,1080,5,4,2,윤리위원회에 있는 저 우울한 암호화폐 루딕(crypto-Luddics)의 말을 듣지 마십시오. 거부율은 소문이 암시하는 것과 전혀 가깝지 않습니다.,"""Doctor"" Wyatt Cydonia (alias), COMSEC intercept",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,위상 코일 튜닝,1070,4,2,0,"트라이-타키온은 매일 성스러운 창조를 억지로 열어젖히며, 모독할 때마다 우리 모두의 파멸이 드리운다. 우리의 길은 짐이다. 우리의 길은 고통이다. 우리는 유일한 구원이 최후의 심판이라는 믿음으로 그들과 마주할 것이다.","Livewell Cotton, Luddic Path terrorist, sermon of c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,특별 수정,1080,5,,,Domainers는 오래 지속되도록 설계되었습니다. 사실입니다. 하지만 그 부드러운 삶을 보면 그들은 이러한 것들을 한계까지 밀어붙이는 것이 두려웠음을 알 수 있습니다.,"Luna Hexagen, independent engineer, Agreus city",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,신경 링크,1075,4,2,0,선장은 왜 배를 타고 내려가야 합니까? Tri-Tachyon 기업은 최고의 인재를 낭비하지 않습니다.,"VP Operations Nereid De Jong at unveiling ceremony for ""Project Heket""",,,,,graphics/icons/skills/neural_link.png,
automated_ships,자동화 함선,1090,5,4,2,[편집됨],Hegemony COMSEC,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,대량운송,1500,1,0,,"중력에서 벗어날 수 없는 것처럼 경제에서도 벗어날 수 없습니다. 그것은 우리를 둘러싸고, 우리를 담고, 우리를 고양시킵니다. 그것은 은하계를 한 번 묶었고 앞으로도 그럴 것입니다.","Artemisia Sun, c203 Annual Report",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,인양,1510,1,0,,마치 우리가 타락한 천사들의 도시를 약탈하는 해충처럼 느껴집니다. 그것은 또한 나를 부자로 만듭니다.,"Zion Hurst, journeyman of the Asher Salvage Guild",,,,,graphics/icons/skills/salvaging.png,
field_repairs,야전 수리,1520,1,0,,20광년 이내에 선체에 해골이 새겨지지 않은 이는 아무도 없습니다. 우리가 여기서 빠져나올 수 있는 건 우리의 기술과 저 잔해더미에서 찾아낸 것들뿐입니다.,"Callisto Ibrahim, expedition log c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,무장 전문화,1530,3,1,,약한 사람들은 살인 기계의 영적인 힘을 두려워합니다. 강한 사람은 본능적으로 그 아름다움을 인식합니다.,Quotations from the Supreme Executor,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,극성 장갑,1540,3,1,,"붕괴 전 매뉴얼에는 절대 이렇게 하지 말라고 나와 있습니다. ... 아니, 모르겠어요. 지금까지 아무런 문제가 없었습니다.","engineering chief Kasi Thea-Radiative, hidden holocam interview",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,격리 절차,1550,4,2,,죽음이 당신에게 오지 않도록 각 인장을 세 번 확인하십시오.,Spacer tradition,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,급조 장비,1560,4,2,,아무래도 우리가 여분의 부품을 궤도에 남겨둔 것 같아요. 괜찮을 거예요... [정적] ... 그냥 지켜보세요.,"audio backup transcription, Jericho Wheeler, leader of expedition ""H""-team",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,산업 계획,1570,4,2,,척박하지만 유망한 세계는 마젝의 문화와 산업의 중심지가 되기에 좋은 위치에 있습니다. SIE 모델은 Guayota의 디스크 자원 활용에 막대한 투자를 예상합니다.,"Tri-Tachyon strategic development memo, pre-Collapse",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,유기된 작업,1590,5,4,2,"저 번쩍이는 우주선에 탄 간부들과 제독들은 우리를 쓰레기라 생각해. 상황이 나빠지자마자 우리를 버렸지. 하지만 섹터를 세운 건 우리고, 그들을 무너뜨릴 것도 우리야.","anonymous pirate agitator, HEGINT surveillance feed ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,선체 복원,1580,5,4,2,진정한 스페이서가 집으로 만들 수 없는 선체는 없습니다.,"Sol Secondshift, veteran salvor",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,오메가 ECM,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,과잉인지,10001,0,,,모든 데이터와 모든 인간의 생각이 주어진 무한한 기계는 결합하고 재결합하여 셀 수 없는 변형을 만듭니다. 물으면 적절한 대답이 나온다. 그러나 나는 속는 것이 그렇게 거창한 제안이라는 사실에 만족하지 못한다.,"""The Long Road To Gilead"" by Anonymous",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,우주 작전,590,5,4,2,모든 세계의 하늘에는 같은 별이 보입니다.,Persean League founding charter,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,지상 작전,600,5,4,2,진흙? 난 괜찮아. 스페이서들은 항상 진흙 타령이더라. 못 참는 건 피야.,"Griffin Sweet, mercenary marine",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,식민지 관리,1590,5,4,2,생명이 있는 곳에는 하나님의 보좌가 있고 거기에는 모든 선한 것이 있습니다.,Sacred Texts of Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,타격 지휘관,20,1,0,,당신은 날아갈 것이고 그들이 결코 알지 못했던 폭풍이 될 것입니다. 당신은 하늘 자체를 쪼개기 위해 온 벼락입니다!,"Navarch Mars Kato, address to the bomber crews of the Sirocco",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,원거리 전문화,60,3,0,,이 발사 솔루션을 보시겠습니까? 이는 방어 알고리즘이 잘못된 시간에 과잉 반응하게 만들 것입니다. 중요한 점은 그들이 그것이 오는 것을 지켜봐야 한다는 것입니다.,"CPO Cameron Fourth-Phobos, instructor posted to Coatl Gunnery Range",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,쉴드 변조,70,4,0,,내가 '액티브 튜닝'이라고 생각하는 재능을 가진 사람은 거의 없습니다. 나는 음악가가 최고의 방패 장교가 된다고 생각합니다.,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,페이즈 마스터리,80,4,0,,"난 그 배에 다시 타지 않을 거예요, 절대로.","Court martial log, [REDACTED], dated ~c196?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,신뢰성공학,1530,2,0,,"결국 시간과 방사선으로 내 몸은 죽겠지. 동료들이 나를 만든 별들로 돌려보내줄 테고, 내 배는 계속될 거야.",Spacer tradition,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,무기 훈련,500,1,0,,"뭐가 Tri-Tach의 음모를 막았냐? (총!) 루드 영감이 잊어버린 게 뭐냐? (총!) 우리가 있고 걔네가 없는 게 뭐냐? (크고, 크고, 총!)",drinking song of the Hegemony navy,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,보조 지원,510,1,0,,예비금이 없나요? 주위를 둘러 봐! 민간 부두에는 우주 비행이 가능한 선박이 수천 척 있고 생태 지역에는 10억 명의 시민이 있습니다. 침략이 일어나기 전에 비축물을 열어서 무기를 주기만 하면 됩니다.,Baikal Daud at the Defense of Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,전투 지구력,0,1,,,"Through experience and planning, a seasoned officer has the ability to extend the effective warfighting time of ship and crew during the extreme conditions of combat deployment.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,무장 전문화,10,2,,,A detailed knowledge of the operational characteristics and maintenance protocols of armaments can be applied to achieve increased combat performance.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#defensive_systems,Defensive Systems,37.5,4,,,Extensive knowledge of the interactions between the ship's power grid and its defensive systems can produce qualitative improvements in operational characteristics.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Advanced Countermeasures,39,4,,,Attention to detail and regular maintenance can allow the various defensive systems of a hull to excel in their role.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Evasive Action,40,5,,,"Even if incoming fire cannot be completely avoided, the pilot often has a choice in just where the damage is taken, which can result in reduced damage impact.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Command & Control,90,1,,,Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Fighter Doctrine,130,3,,,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Carrier Command,135,3,,,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Wing Commander,140,4,,,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Power Grid Modulation,155,1,,,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Loadout Design,170,2,,,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Fleet Logistics,1560,4,,,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Recovery Operations,260,1,,,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Safety Procedures,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
