name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
방어막 차단기,shield_shunt,1,,,"special, shields, merc, standard","특수, 방어막",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,함선의 방어막을 제거합니다. 외부 방출 노드를 강화 장갑판으로 교체하여 함선의 장갑을 %s 증가시킵니다.,쉴드를 제거하고 장갑을 증가시킵니다.,함선의 장갑을 추가로 %s 증가시킵니다.,graphics/hullmods/shield_shunt.png
임시 방어막 발생기,frontshield,0,,,"shields, defensive, standard",방어막,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,함선에 임시적이고 비효율적인 방어막 발생기를 설치합니다. 방어막 방출장치는 전면 고정 위치에 잠기며 범위는 %s도입니다. 방어막 발생기는 엔진 출력의 상당 부분을 소모하여 최고 속도를 %s 감소시킵니다.,쉴드가 없는 함선에 기본 쉴드를 설치합니다. 최고 속도가 감소합니다.,,graphics/hullmods/front_shield_generator.png
미사일 자동장전기,missile_autoloader,1,,,"offensive, merc, standard",무기,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<스크립트에서 생성되는 툴팁>,소형 미사일 장착구의 미사일 무기를 재장전합니다,재장전 후 대기 시간을 %s초로 증가시킵니다.,graphics/hullmods/missile_autoloader.png
강화 방어막,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",방어막,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,방어막이 받는 피해를 %s 감소시킵니다. 또한 이온 빔과 같은 무기의 EMP 아크가 방어막을 관통할 확률도 감소시킵니다.,쉴드가 받는 피해를 줄입니다.,,graphics/hullmods/hardened_shields.png
강화 서브시스템,hardened_subsystems,0,,,"special, merc, standard",특수,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,장기 출격으로 인한 성능 저하가 발생하는 함선의 최고 운용 시간을 %s 증가시킵니다. 전투 준비도 감소 속도도 %s 줄입니다.,"피크 시간이 증가하고, CR이 더 느리게 저하됩니다.",,graphics/hullmods/hardened_subsystems.png
중장갑,heavyarmor,0,,,"defensive, merc, standard",방어,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,함선 크기에 따라 함선의 장갑을 %s/%s/%s/%s 포인트 증가시킵니다.,방어도를 증가시킵니다.,선박의 기동성을 %s 만큼 감소시킵니다.,graphics/hullmods/heavy_armor.png
고산란 증폭기,high_scatter_amp,3,,,"offensive, merc, standard",무기,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<스크립트에서 생성되는 툴팁>,빔 사거리를 줄입니다; 빔이 더 많은 피해를 주고 쉴드에 하드 플럭스를 적용합니다.,빔 무기 피해를 추가로 %s 증가시킵니다.,graphics/hullmods/high_scatter_amp.png
통합 포인트 방어 AI,pointdefenseai,3,,,"defensive, merc, standard","무기, 방어",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"모든 점방어 무기가 유인 플레어를 식별하고 무시할 수 있게 됩니다. 또한 모든 점방어 무기는 전투 준비도에 관계없이 최상의 표적 선행을 얻으며, 미사일에 대한 피해가 %s 증가합니다.","PD는 디코이 플레어를 무시하고, 목표 추적이 개선되며, 미사일에 대한 피해가 증가합니다.","소형 미사일이 아닌 비공격 무기들은 모두 ""근거리 방어""로 분류되어 미사일을 자동으로 목표로 하며, 근거리 방어 능력치 수정자가 적용됩니다.",graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","무기, 방어",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"소형 근접방어 무기의 탄약 포인트 비용을 %s만큼 감소시킨다. 이 비용 감소는 무기 자체의 특징으로 근접방어 능력을 가진 무기에만 적용되며, 다른 수단으로 획득한 경우에는 적용되지 않는다. 모든 근접방어 무기는 모든 목표에 대해 %s만큼 더 많은 피해를 입힌다.","소형 PD 무기의 포인트 비용 감소, 모든 PD의 피해량 증가",,graphics/hullmods/integrated_point_defense_ai.png
통합 조준 장치,targetingunit,3,,,"offensive, merc, standard",무기,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,함선 크기에 따라 탄도 및 에너지 무기의 사거리를 %s/%s/%s/%s 연장합니다. 전용 조준 코어와 함께 작동하지 않습니다. 대부분의 전투함은 통합 조준 장치 또는 전용 조준 코어 중 하나를 설치합니다.,무기를 장착한 함선의 사거리를 증가시킵니다. 특히 큰 함선일수록 더 많은 증가량을 가집니다.,,graphics/hullmods/integrated_targeting_unit.png
항법 중계기,nav_relay,2,,,"engines, special, merc, standard","엔진, 서포트",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"전투에 배치될 경우, 함선 크기에 따라 함대의 항법 등급을 %s/%s/%s/%s 증가시킵니다. 함대의 총 항법 등급은 배치된 함선의 최고 속도를 증가시킵니다.",배치된 함선의 최고 속도를 증가시킵니다.,,graphics/hullmods/nav_relay.png
신경 인터페이스,neural_interface,3,,,"special, no_drop, no_drop_salvage",특수,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"기함과 다른 함선을 연결하여 두 함선이 동시에 %s할 수 있게 합니다. '지휘권 이전'과 마찬가지로, 탄약 용량 증가나 전투 준비도 같은 일부 스킬 효과는 링크된 함선에는 적용되지 않습니다. 셔틀 포드 없이 연결된 함선 간 빠른 전환이 가능합니다. 두 함선의 배치 포인트 합산이 %s 이하이면 이전이 즉시 이루어집니다. 목적지 함선은 장교나 AI 코어의 지휘 하에 있으면 안 됩니다.","선박을 빠르게 전환할 수 있으며, 시스템 재사용 대기 시간을 초기화하고 충전을 추가합니다.",선박으로부터의 전송은 배치 점수 총계와 상관없이 항상 즉시 수행됩니다.,graphics/hullmods/neural_interface.png
신경 통합장치,neural_integrator,,,,"special, no_drop, no_drop_salvage",특수,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"신경 인터페이스의 강화 버전으로, 링크를 통한 모든 시스템 직접 제어가 가능해 자동화 함선과 연동됩니다. 두 함선이 동시에 %s할 수 있습니다. '지휘권 이전'과 마찬가지로, 탄약 용량 증가나 전투 준비도 같은 일부 스킬 효과는 링크된 함선에 적용되지 않습니다. 셔틀 포드 없이 연결된 함선 간 빠른 전환이 가능합니다. 두 함선의 배치 포인트 합산이 %s 이하이면 이전이 즉시 이루어집니다. 목적지 함선은 장교나 AI 코어의 지휘 하에 있으면 안 됩니다. 개조의 복잡성으로 인해 함선의 배치 포인트와 배치 후 회복 물자 비용이 %s 증가합니다.",자동화된 함선용 전문 신경 인터페이스,선박에서 전송은 배치 점수 총과 관계없이 항상 즉시 수행됩니다.,graphics/hullmods/neural_integrator.png
방어막 전환 - 전방,frontemitter,2,,,"shields, defensive, merc, standard",방어막,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,함선의 전방위 방어막 방출장치를 전면 고정 위치로 잠그고 범위를 %s 확대합니다. 모든 전면 방출장치와 마찬가지로 방어막도 두 배 빠르게 전개됩니다.,전방위 쉴드를 전방 쉴드로 전환하고 커버 각도를 확대합니다.,쉴드가 받는 피해량을 %s 만큼 줄입니다.,graphics/hullmods/front_shield_emitter.png
방어막 전환 - 전방위,adaptiveshields,3,,,"shields, defensive, merc, standard",방어막,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,전면 방어막을 전방위 방어막으로 전환합니다. 방어막의 범위를 %s 감소시킵니다.,전방 쉴드를 전방위 쉴드로 변경하며 각도를 감소시킵니다.,쉴드 방향성 패널티를 무시합니다.,graphics/hullmods/omni_shield_emitter_mod.png
작전 센터,operations_center,1,,,special,특수,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,기함에 설치될 경우 명령 포인트 회복 속도를 %s 증가시킵니다.,기함에 탑승 시 명령점 회복 속도 증가 (%s),,graphics/hullmods/operations_center.png
위상 앵커,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",위상,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"위상 은폐 장치의 활성화 비용을 %s로 줄입니다. 위상 상태에서 소프트 플럭스 방출과 무기 충전 속도를 %s 증가시킵니다. 함선을 파괴하거나 비활성화할 치명적 피해를 입을 경우, 위상 공간 깊숙이 긴급 잠수할 수 있습니다. 함선은 후퇴한 것으로 처리되며 전투 종료 후 일반 공간으로 복귀하지만, 배치 비용의 %s에 해당하는 추가 전투 준비도 패널티를 받습니다. 잠수 개시에 필요한 전투 준비도가 충분해야 합니다. 이러한 기동으로 인한 위상 공간의 거대한 왜곡 때문에, 전투 1회당 어느 진영이든 관계없이 단 한 척만 수행할 수 있습니다.",페이즈 상태일 때 플럭스 소산과 무기 재충전을 증가시킵니다. 비상 다이브 기동 시에 활성화됩니다.,,graphics/hullmods/phase_anchor.png
구조 셔틀,recovery_shuttles,1,,,"special, standard",전투기,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,전투기 조종사 사상자를 %s 감소시킵니다.,전투기 조종사 사상자 감소,전투기 조종사 사상자 감소량을 %s로 증가시킵니다.,graphics/hullmods/recovery_shuttles.png
강화 격벽,reinforcedhull,0,,,"defensive, merc, standard",방어,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"함선의 선체 강도를 %s 증가시킵니다. 비활성화될 경우 함선이 분해되지 않으며, 전투 후 거의 항상 회수 가능합니다.",선체 내구도를 증가시킵니다. 손실 시 거의 항상 회수할 수 있습니다.,,graphics/hullmods/reinforced_bulkheads.png
내성 플럭스 도관,fluxbreakers,2,,,"defensive, merc, standard","특수, 방어",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,이온 캐논 등의 무기로부터 받는 EMP 피해를 %s 감소시킵니다. 또한 환기 중 플럭스 방출 속도를 %s 증가시킵니다.,"EMP 피해 감소, 방출 속도 향상.",방출 중 플럭스 감소율이 추가로 %s 증가합니다.,graphics/hullmods/resistant_flux_conduits.png
안전장치 해제,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","특수, 엔진",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"안전 프로토콜을 비활성화하여 함선 크기에 따라 전투 최고 속도를 %s/%s/%s 증가시키고 (가속도도 증가), 플럭스 수준에 관계없이 플럭스 제로 엔진 부스트가 적용됩니다. 추가 벤트를 포함한 플럭스 방출 속도가 %s배 증가합니다. 최고 운용 시간이 %s배 감소하고, 능동 환기가 불가능하며, %s 유닛 이상 거리의 무기 사거리가 크게 감소합니다. 민간 또는 전함급 함선에는 설치할 수 없습니다.","성능의 급격한 향상, 훨씬 더 낮은 피크 시간.",,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
안정화 방어막,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",방어막,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,방어막이 켜진 상태에서 초당 발생하는 소프트 플럭스를 %s 감소시킵니다. 방어막이 피해를 받아 발생하는 하드 플럭스에는 영향을 미치지 않습니다.,쉴드의 플럭스 유지 비용을 줄입니다.,쉴드가 받는 하드 플럭스 피해의 %s를 소프트 플럭스로 전환합니다.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
불안정 인젝터,unstable_injector,0,,,"engines, merc, standard",엔진,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,함선 크기에 따라 전투 최고 속도를 %s/%s/%s/%s su/초 증가시킵니다. 무기 조준 및 취약한 시스템에 간섭을 일으켜 비미사일 무기 사거리를 %s 감소시키고 전투기 교체 시간을 %s 증가시킵니다.,"속도를 증가시키고, 무기 사거리를 감소시킵니다.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# logistics hullmods,,,,,,,,,,,,,,,,,,,
추가 선실,additional_berthing,0,,,"req_spaceport, merc, standard","보급, 도크 필요",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,함선 크기에 따라 최대 선원 수용 인원을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다. 민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.,승무원 수용량을 증가시킵니다.,"승무원 수용량 증가를 두 배로 하고, 민간용 함선의 경우 유지 보수 비용 증가를 무시합니다.",graphics/hullmods/berthing.png
강화 구동장,augmentedengines,1,,,"req_spaceport, merc, standard","보급, 도크 필요",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,최대 번 레벨을 %s 증가시킵니다.,최대 연소 수준을 증가시킵니다.,최대 연소 수준을 추가로 %s 증가시킵니다.,graphics/hullmods/augmented_drive_field2.png
보조 연료 탱크,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","보급, 도크 필요",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,함선 크기에 따라 최대 연료 용량을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다. 민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.,연료 용량 증가,"연료 용량 증가를 2배로 하고, 민간용 함선의 경우 유지 보수 비용 증가를 무시한다.",graphics/hullmods/fuel_tanks.png
효율 개선,efficiency_overhaul,0,,,"req_spaceport, merc, standard","보급, 도크 필요",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"유지 물자 소모, 연료 소모, 최소 필요 승무원을 %s 감소시킵니다. 전투 준비도 회복 및 수리 속도를 %s 증가시킵니다. CR 회복에 드는 일일 물자 소모는 증가합니다.",지속적인 비용을 줄이고 더 많은 배치를 가능하게 합니다.,"유지 보수 비용, 연료 사용량, 최소 승무원 요구 사항을 추가로 %s 감소시킵니다.",graphics/hullmods/efficiency.png
확장 화물칸,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","보급, 도크 필요",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,함선 크기에 따라 최대 화물 용량을 %s/%s/%s/%s 또는 %s 중 높은 값으로 증가시킵니다. 민간 등급 선체의 경우 유지 물자 소모도 %s 증가합니다.,화물 용량을 증가시킵니다.,"화물 용량 증가량을 2배로 하며, 민간용 선체의 경우 유지 보수 비용 증가를 무시합니다.",graphics/hullmods/expanded_cargo.png
고해상도 센서,hiressensors,2,,,"req_spaceport, merc, standard","보급, 도크 필요",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<스크립트에서 생성되는 툴팁>,함대의 감지 거리를 증가시킵니다.,전투 중 함선의 시야 범위를 함종 크기에 따라 %s/%s/%s/%s 증가시킵니다.,graphics/hullmods/high_res_sensors.png
절연 엔진 조립체,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","엔진, 보급, 방어, 도크 필요",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"함선 엔진의 내구도를 %s, 선체 강도를 %s 증가시킵니다. 함선의 센서 프로파일도 %s 감소합니다.","엔진을 비활성화하기 어렵게 하고, 센서 프로파일을 낮춥니다.",엔진 내구도를 추가로 %s 증가시킵니다. 또한 센서 프로파일 감소치를 %s로 증가시킵니다.,graphics/hullmods/insulated_engine_assembly.png
군사화 서브시스템,militarized_subsystems,0,,,"req_spaceport, merc, standard","특수, 보급, 도크 필요",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,민간 등급 선체의 패널티를 제거하고 최대 번 레벨을 %s 증가시킵니다. 최소 필요 승무원을 %s 증가시킵니다.,"센서 패널티 제거, 최대 연소 레벨 증가, 필요 승무원 수 증가.",인원 수 증가 요구 사항을 무시합니다.,graphics/hullmods/militarized_subsystems.png
태양 차폐,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","방어, 보급, 도크 필요",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"원래 내부 아스코니아 항성계의 독특한 환경에 대응하기 위해 독재국 기술자들이 개발했습니다. 태양 코로나 내 운용이 전투 준비도에 미치는 영향을 %s 감소시키고, 에너지 피해를 %s 감소시킵니다.",코로나 내에서의 효과 감소 및 받는 에너지 피해 감소: %s,태양 코로나 및 유사한 위험으로부터의 보호를 %s까지 증가시킵니다.,graphics/hullmods/solar_shielding2.png
탐사 장비,surveying_equipment,1,,,"special, req_spaceport, standard","보급, 도크 필요",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,"함선 크기에 따라 탐사에 필요한 중장비와 물자를 %s/%s/%s/%s 감소시키며, 각 항목의 최솟값은 %s입니다.",조사에 필요한 자원을 줄입니다.,조사 비용 감소량을 %s 증가시킵니다.,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,,,,
