event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
trade_disruption,report_smuggling_player,,,news,$marketSystem 성계 $market $onOrAt 밀수 활동,당신이 관여한 최근 밀수 활동의 영향으로 $market $onOrAt 상황이 더 불안정해졌습니다. 현지 당국은 전면 조사를 약속하고 있습니다.,안정도가 $smugglingPenalty 감소했습니다. 당신의 최근 행동이 이 상황에 영향을 주었습니다.,,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,$theFaction 관계 개선: 무역,최근 $marketList에서의 무역 활동이 $theFaction에게 긍정적으로 알려졌습니다.,,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,$theFaction 관계 악화: 밀수,"최근 $marketList에서의 암시장 거래가 $theFaction에게 포착된 정황이 있습니다. 확정 증거는 없지만, 이전보다 더 면밀한 감시를 받게 되었습니다.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,$theHostileFaction 관계 악화: $pickedMarket 무역,$pickedMarket에서의 무역 규모가 충분히 커져 $theFaction의 적대 세력인 $theHostileFaction의 주목을 받았습니다.,$hostileMarket의 관계자들이 처음 보고했습니다. 밀수가 있었다면 공개 무역보다 영향은 작았습니다.,,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,$theFaction와의 관계는 무역의 영향을 받지 않음,"$marketList와의 최근 무역 활동은 $theFaction의 주목을 받았지만, 관계 변화로 이어지지는 않았습니다.",현재 관계 수준에서는 무역이 관계에 영향을 주지 않습니다.,,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,$theHostileFaction와의 관계는 무역의 영향을 받지 않음,"$pickedMarket와의 최근 무역 활동은 $hostileMarket의 적대 당국의 주목을 받았지만, 관계 변화로 이어지지는 않았습니다.",현재 관계 수준에서는 무역이 관계에 영향을 주지 않습니다.,,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,무역 경험 획득,"최근 거래를 통해 경제가 돌아가는 방식에 대한 감각이 늘었고, 유용한 인맥도 생겼습니다.",$xpGain 경험치 획득.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,$theFaction 관계 개선,"최근 반복된 문제가 없다면, 사소한 무례나 충돌은 시간이 지나며 잊히기 마련입니다.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,$theFaction와의 관계 하락,사소한 무례나 작은 호의는 최근 행동 패턴으로 굳어지지 않는 한 빠르게 잊히기 마련입니다.,,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,$theFaction 관계 개선,$otherFleetName와의 전투가 $market의 $theFaction 관계자들에게 보고되었습니다.,전투 소식은 $market의 관계자들이 처음 포착했습니다.,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,$Faction 보안 통신 접근 허가,좋은 평판($factionStanding) 덕분에 $market의 당국이 내부 $Faction 통신 채널 접근을 허가했습니다.,,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,$Faction 보안 통신 접근 철회,평판이 낮아져($factionStanding) 내부 $Faction 통신 채널 접근 권한이 철회되었습니다.,,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,$market 가격 정보 갱신,"현지 통신망을 엿들은 결과, $market에서 비정상적인 가격을 보이는 일부 상품 정보를 얻었습니다.",$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,현지 가격 정보 갱신,현지 통신 트래픽과 이용 가능한 다른 자료를 분석해 성계 내 시장의 일부 상품 가격 정보를 얻었습니다.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,가격 정보 갱신,$relayName의 통신 스니퍼가 보낸 짧은 전송에는 $fromSystem 성계의 일부 상품 가격 정보가 들어 있습니다.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,가격 정보 갱신,현지 통신 트래픽과 이용 가능한 다른 자료를 분석해 $fromSystem 성계의 일부 상품 가격 정보를 얻었습니다.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,세관 검사,"세관 검사를 피하는 데는 일단 성공했지만, $faction 당국은 이를 기록해 두었습니다.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,$market 현상금 공고 가능성,$market 당국이 $theMarketFaction에 적대적인 모든 함대에 대한 현상금 공고를 검토 중이라는 소문이 있습니다.,,,,,,
system_bounty,start,,,news,$system 현상금 공고,$system에서 활동하는 해적에 대한 현상금이 공고되었습니다.,현상금 사냥으로 수익 창출 가능.,,,,,
system_bounty,start_with_faction,,,news,$market 현상금 공고,"$market 당국은 지속적인 습격, 무역 방해, 준전시 상태에 지쳐 $theMarketFaction에 적대적인 모든 함대에 현상금을 공고했습니다.","기간: $daysLeft일. $enemyFaction 활동이 원인일 가능성이 높습니다. 지급액은 파괴한 함선에 따라 달라지며, $theMarketFaction와의 관계도 개선될 수 있습니다. 함선은 성계 내부 또는 인근 초공간에서 파괴되거나 무력화되어야 합니다. 보상은 인근 통신 중계소를 통해 보안 통신 채널로 지급됩니다.",,,,,
system_bounty,bounty_payment,,,secure_comm,$market 현상금 지급: $bountyCredits 크레딧,메시지에는 $bountyCredits 크레딧 지급금이 담긴 암호화 첨부 파일이 포함되어 있습니다.,$bountyCredits 크레딧을 획득했습니다. $market은 앞으로 $daysLeft일 동안 현상금을 계속 공고합니다.,,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,$market 현상금 배분: $bountyCredits 크레딧,메시지에는 당신의 현상금 몫인 $bountyCredits 크레딧이 담긴 암호화 첨부 파일이 포함되어 있습니다.,$bountyCredits 크레딧을 획득했습니다. $market은 앞으로 $daysLeft일 동안 현상금을 계속 공고합니다.,,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,$market 현상금 평가,메시지에는 $market에서 공고 중인 현상금에 관한 내부 정보 보고서가 포함되어 있습니다.,$theMarketFaction 측이 당신에게 $factionStanding 상태이므로 현상금이 지급되지 않습니다. $market은 앞으로 $daysLeft일 동안 현상금을 계속 공고합니다.,,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,$market 현상금 평가,메시지에는 $market에서 공고 중인 현상금에 관한 내부 정보 보고서가 포함되어 있습니다.,$theMarketFaction 측이 당신에게 $factionStanding 상태이므로 현상금 지급이나 관계 개선이 없습니다. $market은 앞으로 $daysLeft일 동안 현상금을 계속 공고합니다.,,,nomap,,
system_bounty,end,,,news,$system 현상금 종료,$system의 현상금 공고가 종료되었습니다.,추가 현상금 지급은 없습니다.,,,nomap,,
,,,,,,,,,,,,
comm_sniffer,report,,,player_comm_sniffer,통신 스니퍼 데이터,첨부 파일에는 $system 성계를 오가는 각종 메시지 트래픽 덤프가 들어 있습니다. 사람이 작성한 메시지와 자동화된 메시지가 모두 포함되어 있습니다.,해당 성계의 향후 사건을 정확히 예측할 가능성이 높아집니다.,,,,,
,,,,,,,,,,,,
# person bounty reports,,,,,,,,,,,,
person_bounty,start_pirate,,,news,$theFaction: $targetName 현상금 $bountyCredits 크레딧,$market의 $Faction 당국은 악명 높은 해적인 $targetName에게 현상금을 공고했습니다.,$bountyCredits 크레딧 보상. 인근 통신 중계소를 통해 보안 통신 채널로 지급됩니다. 기간: $daysLeft일. $targetDesc 소문에 따르면 $hideoutCrumb,,,,,
person_bounty,start_deserter,,,news,$theFaction: $targetName 현상금 $bountyCredits 크레딧,$market의 $Faction 당국은 탈주 혐의를 받는 $targetName에게 현상금을 공고했습니다.,$bountyCredits 크레딧 보상. 인근 통신 중계소를 통해 보안 통신 채널로 지급됩니다. 기간: $daysLeft일. $targetDesc 소문에 따르면 $hideoutCrumb,,,,,
person_bounty,bounty_payment_end,,,secure_comm,$theFaction 현상금 지급: $bountyCredits 크레딧,메시지에는 $targetName을 처단한 대가로 지급된 $bountyCredits 크레딧이 암호화 첨부 파일로 들어 있습니다.,$bountyCredits 크레딧 획득.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_payment_share_end,,,secure_comm,$theFaction 현상금 지급: $bountyCredits 크레딧,메시지에는 $targetName을 처단한 대가로 지급된 현상금 중 당신의 몫인 $bountyCredits 크레딧이 암호화 첨부 파일로 들어 있습니다.,$bountyCredits 크레딧 획득.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_no_payment_end,,,player_intel_always,$targetName 현상금 관련 평가,메시지에는 $targetName 현상금에 관한 내부 정보 보고서가 들어 있습니다.,$theFaction의 당신에 대한 관계가 $factionStanding 상태이므로 현상금은 지급되지 않습니다.,,,nomap,,
person_bounty,bounty_no_rep_end,,,player_intel_always,$targetName 현상금 관련 평가,메시지에는 $targetName 현상금에 관한 내부 정보 보고서가 들어 있습니다.,$theFaction의 당신에 대한 관계가 $factionStanding 상태이므로 현상금 지급이나 관계 개선은 없습니다.,,,nomap,,
person_bounty,other_end,,,news,$targetName 현상금 종료,보고에 따르면 $targetName은 현상금 의뢰와 무관한 사건으로 사망했습니다.,이 현상금은 더 이상 제공되지 않습니다.,,,nomap,,
person_bounty,expire_end,,,news,$targetName 현상금 종료,$market $onOrAt $Faction 당국이 이전에 게시했던 $targetName 현상금을 철회했습니다.,이 현상금은 더 이상 제공되지 않습니다.,,,nomap,,
,,,,,,,,,,,,
# test mission,,,,,,,,,,,,
test_mission,start,,,player_intel_always,테스트 임무,테스트 임무가 시작되었습니다.,보상이 지급될 가능성은 낮습니다.,,,,,
test_mission,end_success,,,player_intel_always,테스트 임무 성공,테스트 임무가 성공적으로 완료되었습니다.,,,,,,
test_mission,end_failure,,,player_intel_always,테스트 임무 실패,테스트 임무가 실패했습니다.,,,,,,
,,,,,,,,,,,,
# market procurement mission,,,,,,,,,,,,
market_procurement,posting,,,posting,$quantity 단위의 $commodity을(를) 확보해 $daysLeft 내에 $market에 납품하면 $rewardCredits를 지급합니다.,납품을 완료하려면 $market의 $contactDesc $contactName에게 연락하십시오.,기본 지급액은 단위당 $perUnit입니다. $market은 $marketFaction 당국이 통제합니다. $contactName $contactDetail.,,,no_system_prefix,,
market_procurement,posting_bonus,,,posting,$quantity 단위의 $commodity을(를) 확보해 $daysLeft 내에 $market에 납품하면 $rewardCredits를 지급합니다. $bonusDays 내에 납품하면 $bonusCredits 보너스가 지급됩니다.,납품을 완료하려면 $market의 $contactDesc $contactName에게 연락하십시오.,기본 지급액은 단위당 $perUnit입니다. $market은 $marketFaction 당국이 통제합니다. $contactName $contactDetail.,,,,,
market_procurement,accept,,,secure_comm,수락됨: $quantity 단위의 $commodity을(를) 확보해 $market에 납품,$quantity 단위의 $commodity을(를) 확보해 $market에 납품하십시오. 납품을 완료하려면 $market의 $contactDesc $contactName에게 연락하십시오.,완료까지 $daysLeft 남았습니다. 보상은 $rewardCredits이며 단위당 $perUnit입니다. $market은 $marketFaction 당국이 통제합니다. $contactName $contactDetail.,,,"no_system_prefix, important",,
market_procurement,accept_bonus,,,secure_comm,수락됨: $quantity 단위의 $commodity을(를) 확보해 $market에 납품,$quantity 단위의 $commodity을(를) 확보해 $market에 납품하십시오. 납품을 완료하려면 $market의 $contactDesc $contactName에게 연락하십시오.,완료까지 $daysLeft 남았습니다. 보상은 $rewardCredits이며 단위당 $perUnit입니다. $bonusDays 내에 납품하면 $bonusCredits 보너스가 지급됩니다. $market은 $marketFaction 당국이 통제합니다. $contactName $contactDetail.,,,"no_system_prefix, important",,
market_procurement,success,,,player_intel_always,완료됨: $quantity 단위의 $commodity을(를) $market에 납품,임무를 성공적으로 완료했습니다.,$actualReward를 획득했습니다.,,,"no_system_prefix, important",,
market_procurement,success_bonus,,,player_intel_always,완료됨: $quantity 단위의 $commodity을(를) $market에 납품,임무를 성공적으로 완료했습니다.,$bonusCredits 보너스를 포함해 $actualReward를 획득했습니다.,,,"no_system_prefix, important",,
market_procurement,failure,,,player_intel_always,실패: $quantity 단위의 $commodity을(를) 제때 $market에 납품하지 못함,임무 실패 - 마감 시간을 넘겼습니다.,,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# analyze entity mission,,,,,,,,,,,,
analyze_entity,posting,,,posting,$daysLeft 내에 $systemName의 $entityName에서 제공된 센서 패키지를 실행하면 $rewardCredits를 지급합니다.,센서 패키지를 실행하는 즉시 임무가 완료된 것으로 간주되며 보상이 게시됩니다.,$locationHint,,,no_system_prefix,,
analyze_entity,accept,,,secure_comm,수락됨: $systemName의 $entityName에서 센서 패키지 실행,보상은 $rewardCredits이며 $daysLeft 내에 완료해야 합니다. 센서 패키지를 실행하는 즉시 임무가 완료된 것으로 간주되며 보상이 게시됩니다.,$locationHint,,,"no_system_prefix, important",,
analyze_entity,failure,,,player_intel_always,실패: $systemName의 $entityName에서 센서 패키지 실행,임무 실패 - 마감 시간을 넘겼습니다.,,,,"no_system_prefix, important",,
analyze_entity,success,,,player_intel_always,완료됨: $systemName의 $entityName에서 센서 패키지 실행,임무를 성공적으로 완료했습니다.,$rewardCredits를 획득했습니다.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# survey planet mission,,,,,,,,,,,,
survey_planet,posting,,,posting,$daysLeft 내에 $systemName의 $planetName에서 전체 탐사를 수행하면 $rewardCredits를 지급합니다.,탐사 완료 즉시 임무가 완료된 것으로 간주되며 보상이 게시됩니다.,$surveyInfo,,,no_system_prefix,,
survey_planet,accept,,,secure_comm,수락됨: $systemName의 $planetName 전체 탐사,보상은 $rewardCredits이며 $daysLeft 내에 완료해야 합니다. 탐사 완료 즉시 임무가 완료된 것으로 간주되며 보상이 게시됩니다.,$surveyInfo,,,"no_system_prefix, important",,
survey_planet,failure,,,player_intel_always,실패: $systemName의 $planetName 전체 탐사,임무 실패 - 마감 시간을 넘겼습니다.,,,,"no_system_prefix, important",,
survey_planet,success,,,player_intel_always,완료됨: $systemName의 $planetName 전체 탐사,임무를 성공적으로 완료했습니다.,$rewardCredits를 획득했습니다.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# tutorial mission,,,,,,,,,,,,
tutorial_mission,start,,,secure_comm,튜토리얼 임무,튜토리얼 임무가 시작되었습니다.,,,,"no_system_prefix, important",,
tutorial_mission,sneak_start,,,player_intel_always,데린쿠유에서 점프 포인트 데이터 확보,"원시 점프 포인트 판독값을 확보하려면 데린쿠유 채굴 기지의 $dataContactName에게 연락하십시오. 데린쿠유의 광부들이 해적화되었으므로 트랜스폰더를 끈 상태로 접촉해야 하며, 그렇지 않으면 함대가 공격받습니다.","탐지를 피하려면 '어둠 속으로'를 사용하고, 발견되면 '비상 연소'로 이탈하십시오.",,,"no_system_prefix, important",,
tutorial_mission,sneak_end,,,player_intel_always,데이터를 가지고 안키라로 귀환,점프 포인트 데이터를 전달하려면 안키라로 돌아가 $mainContactPost $mainContactLastName에게 연락하십시오.,,,,"no_system_prefix, important",,
tutorial_mission,salvage_core_start,,,player_intel_always,표류 잔해에서 AI 코어 인양,"점프 포인트 데이터를 분석하려면 AI 코어가 필요합니다. 폰투스 궤도 밖에는 도메인 시대 탐사 프로브가 있습니다. 인양하면 감마 AI 코어를 얻을 가능성이 높으며, 이 임무에는 충분할 것입니다.","폰투스로 이동한 뒤 소행성대 방향으로 나아가 활성 센서 버스트를 사용해 프로브를 찾으십시오. 접근해 인양하거나, 잔해로 만든 뒤 파편 지대에서 수거하십시오. 먼저 자동 방어 시스템을 제압해야 할 가능성이 큽니다.",,,"no_system_prefix, important",,
tutorial_mission,salvage_core_end,,,player_intel_always,AI 코어를 가지고 안키라로 귀환,AI 코어를 전달하려면 안키라로 돌아가 $mainContactPost $mainContactLastName에게 연락하십시오.,,,,"no_system_prefix, important",,
tutorial_mission,ship_recovery_start,,,player_intel_always,테트라 주변의 표류 함선 회수,테트라 주변 함선 묘지로 가서 가능한 한 많은 함선을 회수하십시오. 회수한 함선을 운용할 추가 승무원과 전투 준비도 복구를 도울 추가 보급품을 준비하십시오.,,,,"no_system_prefix, important",,
tutorial_mission,ship_recovery_end,,,player_intel_always,안키라로 돌아가 회수 함선 무장 정비,회수한 함선에 무기를 장착하는 데 도움을 받으려면 안키라의 $mainContactPost $mainContactLastName에게 돌아가십시오.,,,,"no_system_prefix, important",,
