name,id,tags,planetary,decivRemove,script,desc,icon,order
인구,population_2,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName에는 불과 수백 명이 거주합니다.,graphics/icons/markets/population02.png,20
인구,population_3,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,수천 명이 $marketName을 고향이라 부릅니다.,graphics/icons/markets/population03.png,20
인구,population_4,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName에는 수만 명이 거주합니다.,graphics/icons/markets/population04.png,20
인구,population_5,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName에는 수십만 명이 살고 있습니다.,graphics/icons/markets/population05.png,20
인구,population_6,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName의 인구는 수백만 명에 달합니다.,graphics/icons/markets/population06.png,20
인구,population_7,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName은 수천만 명의 세계입니다.,graphics/icons/markets/population07.png,20
인구,population_8,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName은 섹터에서 몇 안 되는 수억 명 이상의 행성 중 하나입니다.,graphics/icons/markets/population08.png,20
인구,population_9,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"위험한 은하 속 인류의 귀중한 안식처, $marketName은 수십억의 생명이 사는 곳입니다.",graphics/icons/markets/population09.png,20
인구,population_10,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$marketName은 섹터의 지배적 인구 중심지로, 수백억 명이 사는 구지구의 경쟁자입니다.",graphics/icons/markets/population10.png,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
# event-related market conditions,,,,,,,,
식량 부족,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,$market에 일시적인 식량 부족이 발생했습니다. - 안정도 $stabilityPenalty 감소 - 식량 가격 상승,graphics/icons/markets/food_shortage.png,1000
최근 불안,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$Market에서 최근 격동적인 사건이 발생해 안정도에 지속적인 영향을 미치고 있습니다.,graphics/icons/markets/recent_unrest.png,2000
무역 혼란,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,$market을 오가는 무역 함대가 큰 피해를 입고 있습니다. 해적이나 전쟁이 원인일 가능성이 높습니다.,graphics/icons/markets/trade_disruption.png,1100
밀수,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,$market에서 밀수 활동이 급증하고 있습니다. - 안정도 $smugglingPenalty 감소,graphics/icons/markets/smuggling.png,1000
현상금,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
불량 AI 코어,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,$market 인근에 불량 AI 코어가 작동하고 있습니다. 그 장기적 계획과 야망은 불분명합니다.,graphics/icons/markets/rogue_ai.png,1200
AI 코어 관리자 (숨김),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,코어가 제거 불가 상태가 되는 시점을 추적하는 숨김 조건입니다. 아이콘 불필요.,graphics/icons/markets/rogue_ai.png,1000
해적 활동,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,이 시스템에서 해적들이 화물선과 식민지를 표적으로 삼는 징후가 포착되고 있습니다.,graphics/icons/markets/pirate_activity.png,1300
적대 활동,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
해적 소강,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,이 식민지는 섹터에서 흔한 해적 약탈의 소강 상태를 경험하고 있습니다.,graphics/icons/markets/respite40.png,1375
정립된 정치체,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
봉쇄됨,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,이 식민지가 위치한 시스템이 봉쇄를 받고 있어 정기 무역 항로가 피해를 입고 있습니다.,graphics/icons/markets/blockade.png,1385
러드 경로 세포,pather_cells,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,,
# stand-alone conditions,,,,,,,,
무역 혼란,shipping_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,,
# misc,,,,,,,,
통신 중계기 (숨김),comm_relay,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,"숨김 조건으로, 아이콘이 필요하지 않습니다.",,
,,,,,,,,
,,,,,,,,
# procgen conditions,,,,,,,,
거주 가능,habitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,$market의 표면 조건에 인간이 무방호 상태로 생존할 수 있습니다.,graphics/icons/markets/habitable.png,21
,,,,,,,,
,,,,,,,,
산재한 폐허,ruins_scattered,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,이 세계는 붕괴 이전 도메인 개발이 거의 이루어지지 않았습니다. 단편적인 유물만 남아 있습니다.,graphics/icons/markets/ruins_scattered.png,100
광범위한 폐허,ruins_widespread,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"광범위한 폐허, 방사선 블립, 발포 세라믹의 특유한 레이더 핑이 곳곳에서 감지됩니다.",graphics/icons/markets/ruins_widespread.png,100
대규모 폐허,ruins_extensive,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,부서진 도심에서 흘러넘친 폐허 도시들이 $market 표면 곳곳에서 발견됩니다.,graphics/icons/markets/ruins_extensive.png,100
광대한 폐허,ruins_vast,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market은 광대한 폐허로 뒤덮여 있습니다. 죽은 자들이 넘쳐납니다.,graphics/icons/markets/ruins_vast.png,100
,,,,,,,,
,,,,,,,,
한랭,cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 낮은 기온은 정상 작업에 특수 장비를 필요로 합니다.,graphics/icons/markets/cold.png,25
극한 한랭,very_cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market에서 안전한 작업을 위해 극한 추위용 특수 장비와 절차가 필요합니다.,graphics/icons/markets/cold_extreme.png,25
,,,,,,,,
고온,hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 고온 환경은 정상 작업에 특수 장비를 필요로 합니다.,graphics/icons/markets/hot.png,25
극한 고온,very_hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market에서 안전한 작업을 위해 극한 열용 특수 장비와 절차가 필요합니다.,graphics/icons/markets/hot_extreme.png,25
,,,,,,,,
,,,,,,,,
지각 활동,tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 표면은 불안정하여 격렬한 지진이 잦습니다. 모든 구조물에 특수 보강이 필요합니다.,graphics/icons/markets/tectonic.png,26
극한 지각 활동,extreme_tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 지각은 극심한 지진과 대규모 화산 활동으로 혼돈 상태입니다.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,,
,,,,,,,,
대기 없음,no_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market에는 감지 가능한 대기가 없습니다. 표면이 우주의 혹독한 환경에 노출됩니다.,graphics/icons/markets/atmosphere_none.png,27
희박한 대기,thin_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,희박한 대기가 $market 표면에 간신히 존재합니다.,graphics/icons/markets/atmosphere_thin.png,27
독성 대기,toxic_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 대기는 극도로 독성이 강하고 부식성이 있어 노출된 표면을 마모시킵니다.,graphics/icons/markets/atmosphere_toxic.png,27
밀집 대기,dense_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$Market의 표면은 두꺼운 대기로 뒤덮여 있습니다.,graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,,
,,,,,,,,
온화한 기후,mild_climate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,$Market의 기후는 온화하고 온순합니다. 매일 아침 가벼운 안개가 일출을 맞이합니다.,graphics/icons/markets/climate_mild.png,28
극한 날씨,extreme_weather,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market의 하늘을 휩쓰며 번개를 수반한 맹렬한 폭풍이 몰아친다. 궤도에서는 숭고한 아름다움이지만, 이는 험악한 지표면 조건을 만들어 수송과 거주를 극히 불편하게 한다.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,,
저중력,low_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"$market의 지표면 중력은 특이할 정도로 낮지만 무중력보다는 훨씬 높다. 마찰력, 무게, 압력 역학의 변화된 조건에 대응하기 위해 필요한 비표준 절차로 인해 (상대적으로) 무거운 기계류의 작업과 운영이 복잡해진다.",graphics/icons/markets/gravity_low.png,24
고중력,high_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"$market의 지표면 중력은 압도적으로 높다. 인류는 일상적인 이동을 위해 동력 외골격을 필요로 하며 기본적인 동작도 피로하다고 느낀다. 지속적인 거주는 기껏해야 힘겹다. 모든 작업은 낙상과 구조적 붕괴의 위험이 높아진 상태에서 진행되며, 충분한 신중함으로 특화된 공학을 수행하지 않으면 더욱 그렇다.",graphics/icons/markets/gravity_high.png,24
,,,,,,,,
방사능 오염,irradiated,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market의 지표면은 방사능으로 황폐화되어 있다. 모든 생명체는 여기서 오래 살기 위해 보호된 서식지에 갇혀 있어야 한다. 경화되지 않은 회로와 나노스케일 재료 또는 기계류도 이 혹독한 조건에서 빠르게 고장난다.,graphics/icons/markets/irradiated.png,29
,,,,,,,,
,,,,,,,,
적대적 생물권,inimical_biosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"$market의 생물권은 보호되지 않은 인간에게 치명적이다. 이 조건들이 생물학자들에게는 흥미롭지만, 지표면 기술자들은 일상적인 작업을 수행할 때 엄격한 격리 프로토콜로 인해 방해를 받는다.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,,
수역 표면,water_surface,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,착륙하거나 걷거나 건설할 실질적인 고체 표면이 없는 해양 행성이다. 전문 훈련과 장비가 필요함으로 인해 작업이 복잡해진다.,graphics/icons/markets/water_covered.png,31
,,,,,,,,
약한 빛,poor_light,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market의 항성이 제공하는 빛은 이 세계에만 미약한 조명과 에너지를 제공한다.,graphics/icons/markets/poor_light.png,32
암흑,dark,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market의 지표면은 어둡고 그림자가 가득하며, 항성으로부터 사실상 조명을 받지 못한다.",graphics/icons/markets/darkness.png,32
,,,,,,,,
운석 충돌,meteor_impacts,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,이 행성은 규칙적인 유성우로 인해 끔찍한 비율로 지속적으로 폭격당한다. 아무리 임시일지라도 모든 인간 주민은 하늘을 조심스럽게 감시해야 한다. 모든 영구 시설은 깊게 묻고 잘 요새화되는 것이 최선이다.,graphics/icons/markets/meteor_impacts.png,33
,,,,,,,,
,,,,,,,,
오염,pollution,,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"인류 산업은 이 세계를 다이옥신, 황 화합물, 회분, 붕괴하는 방사성 먼지의 지속적인 틱으로 채웠다. 플라스틱 조각들이 거품 금속 파편에 들러붙고, 하늘은 죽은 채널로 맞춰진다.",graphics/icons/markets/pollution.png,110
,,,,,,,,
,,,,,,,,
희박한 광석,ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,학문적 흥미만 있고 채굴 경제성이 거의 없는 희박한 광석입니다.,graphics/icons/markets/ore_sparse.png,50
적정 광석,ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,적절한 경제 조건에서 수익성 있게 개발할 수 있는 광석입니다.,graphics/icons/markets/ore_moderate.png,50
풍부한 광석,ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,광범위하고 수익성 있게 채굴할 수 있는 풍부한 광석입니다.,graphics/icons/markets/ore_abundant.png,50
광대한 광석,ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"암석층에 광물이 조밀하게 형성되어 있어, 야심찬 산업가라면 막대한 이윤을 창출할 수 있습니다.",graphics/icons/markets/ore_rich.png,50
초풍부 광석,ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,도메인 시대의 거대 채광 기업들도 꿈꾸지 못한 광물 자산입니다.,graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,,
,,,,,,,,
희박한 희귀 광석,rare_ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,학문적 흥미만 있고 채굴 경제성이 거의 없는 희박한 초중금속입니다.,graphics/icons/markets/rareore_sparse.png,60
적정 희귀 광석,rare_ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,지속적인 산업 투자로 수익성 있게 채굴할 수 있는 초중금속입니다.,graphics/icons/markets/rareore_moderate.png,60
풍부한 희귀 광석,rare_ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,야심찬 군벌이나 재벌의 야욕을 충족시킬 초중금속이 암석층에 풍부하게 존재합니다.,graphics/icons/markets/rareore_abundant.png,60
광대한 희귀 광석,rare_ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,암석층에 펼쳐진 초중금속이 강력한 전함 함대 건조와 거대한 부의 축적을 약속합니다.,graphics/icons/markets/rareore_rich.png,60
초풍부 희귀 광석,rare_ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,센서 그리드에 비친 초중금속의 믿기지 않을 정도의 밀도는 세계를 불태울 강함 함대를 건조하거나 도메인 시대의 찬란한 수정 탑 도시처럼 영광스러운 미래를 약속합니다.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,,
,,,,,,,,
극소량 휘발성 물질,volatiles_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,이곳의 휘발성 물질은 채굴할 가치가 거의 없습니다.,graphics/icons/markets/volatiles_trace.png,40
산재된 휘발성 물질,volatiles_diffuse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"산재된 휘발성 물질을 찾을 수 있으며, 산업 채굴에 충분합니다.",graphics/icons/markets/volatiles_diffuse.png,40
풍부한 휘발성 물질,volatiles_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,풍부한 휘발성 물질을 $market에서 경제적으로 채굴할 수 있습니다.,graphics/icons/markets/volatiles_abundant.png,40
대량의 휘발성 물질,volatiles_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market은 휘발성 물질의 거대한 광맥입니다 - 풍부하고, 깊고, 강력합니다.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,,
,,,,,,,,
극소량 유기물,organics_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market은 유기물 매장량이 거의 없지만, 일부 채굴은 가능합니다.",graphics/icons/markets/organics_trace.png,38
일반 유기물,organics_common,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,경제적으로 채취 가능한 유기물 매장지를 $market에서 찾을 수 있습니다.,graphics/icons/markets/organics_common.png,38
풍부한 유기물,organics_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market의 지표 아래로 부의 강이 흐릅니다 - 그것을 찾아내고 활용할 자들을 위해.,graphics/icons/markets/organics_abundant.png,38
대량의 유기물,organics_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market 표면에서 귀한 유기물 저장소가 분출하며, 깊고 어두운 웅덩이들 위로 나타납니다. 그 아래에는 부의 대양이 있을 것을 약속합니다.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,,
,,,,,,,,
척박한 농지,farmland_poor,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,이곳에서 테란 식물은 왜소하고 지친 상태로만 자랍니다. 이 땅을 비옥하게 하려면 절망에 맞먹는 재능을 가진 농부들이 필요합니다.,graphics/icons/markets/farmland_poor.png,70
적절한 농지,farmland_adequate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,견고한 테란 호환 생물권이 $market에서 농업 경작을 가능하게 합니다.,graphics/icons/markets/farmland_adequate.png,70
풍요로운 농지,farmland_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market의 비옥한 들판은 이 기름진 땅에서 일하는 농부들에게 풍성한 수확을 약속한다.,graphics/icons/markets/farmland_rich.png,70
과실의 농지,farmland_bountiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market은 진정한 에덴이다; 꽃피고 무성하며 푸르고 생명력으로 빛나는 곳이다. 가지들은 과실의 무게로 늘어져 있고, 황금 곡식 밭은 초원 미풍 속에서 반짝인다.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,,
궤도 태양 집열기,solar_array,"show_in_planet_list, planet_search",TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"이 행성은 궤도에 배치된 태양 차양 또는 거울로 이루어진 어레이를 갖고 있으며, 행성 표면 환경을 지구 기준에 가깝게 조절한다.",graphics/icons/markets/solar_shade.png,101
