id,trigger,conditions,script,text,options,notes
gh_exploreSel3a,DialogOptionSelected,$option == gh_explore3,,"고대 기록은 게이트 운반선이 연락 두절 시를 대비해 표준 자동화 탐사, 추출, 정제 드론을 탑재했다고 기록합니다. 문서들은 페일세이프 포인트에서 광대한 거리에서도 효과적으로 새로운 연료와 재료 공급원을 확보할 수 있는 능력을 암시하는 것 같습니다.",gh_explore4:계속,
gh_exploreSel4,DialogOptionSelected,$option == gh_explore4,,"세부 사항이 쌓여가고 각 수석 장교들이 보고를 전달하면서 공유 디스플레이를 조작합니다. 마침내 수석 기술자가 전체 거대한 우주선의 천천히 회전하는 가상 조명 개요로 홀로그램을 지웁니다. 헛기침을 하면서 잠깐의 미소를 억누릅니다.""$PlayerSirOrMadam."" 잠시 멈춤.","gh_activateCheck:""이것을 다시 켜는 방법을 알려줘. 수치가 필요해, 수석 기술자.""gh_activateRisk:""재활성화의 위험은 무엇인가?""defaultLeave:떠나기",
gh_activateRisksSel,DialogOptionSelected,$option == gh_activateRisk,RemoveOption gh_activateRisk,"""게이트 운반선은 신뢰성을 위해 제작되었습니다,"" 수석 기술자가 설명합니다. ""모든 실패 상태는 낮은 에너지 안전 모드로 복구됩니다. 백업의 백업에 백업이 있습니다. 운반선을 의도적으로 파괴하려해도 극도의 노력이 필요할 것입니다.""기술 장교가 짜증스러운 표정으로 데이터패드를 두드리지만...",,
GateHaulerActivationActivate,GateHaulerActivation,,,,"gh_activate:""활성화를 진행합니다.""",
GateHaulerActivationLeave,GateHaulerActivation,,,,defaultLeave:떠나기,
gh_deployGateSel,DialogOptionSelected,$option == gh_deployGate,"Highlight ""DEPLOY?""","게이트 운반선이 우주에 놓여 있습니다. 강력한 질량이 전설적인 화물을 질투하듯 품고 있습니다. 게이트를 전개하기 위한 최종 확인을 기다립니다.마침내 출발 코드가 게이트 운반선의 발사에 대한 원격 측정을 패스키로 요청합니다. 몇 초간의 긴장 후, 재발사 원격 측정이 수락되는 것 같습니다.",gh_deployConfirm:전개,
gh_deployConfirmSel,DialogOptionSelected,$option == gh_deployConfirm,GateHaulerCMD deploy,명령을 내립니다.,,
surveyStar,OpenInteractionDialog,$tag:star score:1000,,당신의 $shipOrFleet이 $entityName에 접근합니다.,10:surveyLeave:떠나기,
surveyPrintFullData,PrintHasSurveyDataTextIfSo,$market.isSurveyed,,이 행성의 완전한 탐사 데이터를 보유하고 있습니다.,,
surveyOptionPerformSurvey,DialogOptionSelected,$option == surveyPerform,OpenCoreTab CARGO OPEN,당신의 $shipOrFleet이 $entityName 저궤도에 진입합니다.,,
surveyAddOptionLeave,PopulateOptions,$market.isPlanetConditionMarketOnly,"SetShortcut surveyLeave ""ESCAPE""",,10:surveyLeave:떠나기,
marketOpenAfterEstablishOutpost,OutpostEstablished,$hasMarket,FireBest MarketPostOpen,"당신의 $shipOrFleet이 $marketName에서 승무원, 보급품, 기계류 하역을 마쳤으며, 승무원들은 곧 임시 거처와 기본 인프라를 구축하기 시작합니다.",,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,항구 당국의 화물 관리 시스템에 접속하여 재고를 둘러봅니다.,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,조선소에 접속하여 구매 가능한 함선을 확인합니다.,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,조선소에 접속하여 당신의 $shipOrFleet 현황을 전송합니다.,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,,당신의 $shipOrFleet이 완전히 수리되어 최대 전투 준비 상태로 복구됩니다. 비용은 $global.repairSupplyCost 보급품입니다.,,
marketOptionCommDir,DialogOptionSelected,$option == marketCommDir,OpenCommDirectory,현지 통신 디렉토리에 접속하여 공개 및 알려진 목록을 탐색합니다.,,
marketPostOpenAddContinue,MPOAddContinue,,,,mpoContinue:계속,
greetingFallthrough,OpenCommLink,# no conditions - fallthrough when nothing else handles OpenCommLink,,통신 링크를 구축하려 하지만 잡음만 들립니다.,cutCommLink:통신 연결 끊기,
relLevelCooperative,RelationshipLevelDesc,$faction.rel == COOPERATIVE,,"$theFaction에게 신뢰받고 가치있게 여겨지며, 순찰대와 항구 당국 모두에게 승인을 받았으며, 고위 관료에 대한 상당한 접근권을 가지고 있습니다. 많은 여유를 부여받으며, 무역 양보 및 고품질 함선과 군수품 접근권을 받을 수 있습니다.",,
relLevelFriendly,RelationshipLevelDesc,$faction.rel == FRIENDLY,,당신은 $theFaction 내에서 직접적으로든 명성으로든 비교적 잘 알려져 있습니다. 하급 관료들은 당신의 길을 비켜줄 줄 압니다.,,
relLevelWelcoming,RelationshipLevelDesc,$faction.rel == WELCOMING,,당신의 이름은 $theFaction의 일부 고위 관료들에게 알려져 있습니다. 그러므로 당신을 괴롭히는 것은 현지 순찰 사령관들에게는 더 위험한 일이 됩니다.,,
relLevelFavorable,RelationshipLevelDesc,$faction.rel == FAVORABLE,,"$faction 관료들은 당신을 우호적으로 바라보는 편이지만, 실질적인 의미는 거의 없습니다. 기껏해야 저급 잉여 군사 장비를 판매받거나, 더 편리한 희생양이 있으면 조사 대상에서 벗어날 수 있습니다.",,
relLevelNeutral,RelationshipLevelDesc,$faction.rel == NEUTRAL,,당신은 $faction 관료들에게 좋거나 나쁜 의미로 크게 알려져 있지 않습니다.,,
relLevelSuspicious,RelationshipLevelDesc,$faction.rel == SUSPICIOUS,,"아직 증명된 것은 없지만, $faction 관료들은 당신을 불신하는 경향이 있습니다. 항구 당국 링크 접근은 miếng grudgingly하게 허용되며, 자주 조사와 괴롭힘의 대상이 됩니다.",,
relLevelInhospitable,RelationshipLevelDesc,$faction.rel == INHOSPITABLE,,"의혹이 실행 가능한 수준으로 높아졌습니다. 아직 보이는 즉시 사격 승인은 없지만, $faction 항구들은 당신과 거래를 거부하며, 순찰대는 당신의 삶을 비참하게 만드는 것이 임무인 것 같습니다.",,
relLevelHostile,RelationshipLevelDesc,$faction.rel == HOSTILE,,"$Faction 지휘관들은 당신의 함대를 발견 즉시 교전할 권한을 가지고 있으며, 모든 시장은 당신과 거래하는 것이 금지되어 있습니다. $theFaction과의 관계를 회복할 수 있지만, 상당한 노력이 필요할 것입니다.",,
relLevelVengeful,RelationshipLevelDesc,$faction.rel == VENGEFUL,,당신의 얼굴 홀로그램과 마지막으로 알려진 함대의 IDENT 해시 모두 성계 간 보안 공지의 정기적인 부분입니다. 고위 $faction 장교 한 명이 당신을 추적하는 것이 주요 임무라는 것이 꽤 확실합니다.,,
ngcWolfStart,AddNewGameChoices,,"SetTooltip ngcWolf ""The Wolf-class is a sleek and deadly combat frigate with middling logistical stats.\n\nBest used near civilization, or with the support of other ships with better capacity for carrying fuel and supplies.""",,0:ngcWolf:현상금 사냥꾼 - 울프급 프리깃 지휘,
ngcWayfarerStart,AddNewGameChoices,,"SetTooltip ngcWayfarer ""The Wayfarer is an ungainly vessel with an excellent capacity for carrying cargo, fuel, and crew.\n\nIts combat ability is limited, but not to be discounted - designed to operate on the fringes of civilization, this freighter is quite capable of defending itself.""",,1:ngcWayfarer:고철 수집가 - 웨이파러급 전투 화물선 지휘,
ngcExplorerStart,AddNewGameChoices,,"SetTooltip ngcExplorer ""A group of ships capable of performing salvage operations on the fringes of the Sector, and defending itself against most of the threats found there.\n\nIncludes a tanker for increased fuel capacity and exploration range, and sufficient cargo capacity to carry the salvage back to the Core Worlds.""",,2:ngcExplorer:탐험가 - 아포지급 순양함에서 탐사 원정 지휘 (빠른 시작),
ngcMercStart,AddNewGameChoices,,"SetTooltip ngcMerc ""A small but highly combat-capable task force geared towards bounty-hunting.\n\nIncludes a small tanker to extend its operating range somewhat.""",,3:ngcMerc:용병대장 - 해머헤드급 구축함에서 소규모 부대 지휘 (빠른 시작),
ngcRandomStart,AddNewGameChoices,,"SetTooltip ngcRandom ""A randomized collection of ships, slightly weaker overall than either of the \""faster start\"" options, but roughly in the same category.""",,4:ngcRandom:프리랜서 - 얻을 수 있는 일이라면 뭐든 하는 (무작위 시작),
ngcSpacerStart,AddNewGameChoices,CheckSetting enableSpacerStart,"SetTooltip ngcSpacer ""A non-combat shuttle, a general lack of resources, and a debt that must be paid. Very difficult start, only intended as a challenge for the starfarer that's seen it all.""",,"5:ngcSpacer:""우주인. 고장난 셔틀. 평생 갚아야 할 빚."" (매우 어려움)",
ngcPickSecondShip,NGCSecondShipOptions,,,"또한, 당신의 함대에는...","0:ngcKite:카이트급 셔틀, 경험 많은 부하의 지휘 하에1:ngcShepherd:셰퍼드급 드론 관리함, 중장비 화물 탑재",
ngcDifficulty,NGCDifficultyOptions,,,"캠페인 난이도를 선택하세요. 처음 플레이하는 분에게는 ""쉬움""을 권장합니다.",0:ngcNormal:보통,
ngcWithTutorial,NGCTutorialOptions,,"SetTooltip ngcTutorial ""Start with a tutorial mission that introduces the high-level campaign mechanics and active abilities.""",,0:ngcTutorial:튜토리얼과 함께 시작!,
ngcSkipTutorial,NGCTutorialOptions,NGCCanSkipTutorial,"SetTooltip ngcSkip ""Skip the tutorial. Will give you roughly the same starting conditions as finishing the tutorial normally would.""",,1:ngcSkip:건너뛰기,
ngcSkipTutorialNoSkip,NGCTutorialOptions,!NGCCanSkipTutorial,,,1:ngcSkip:건너뛰기,
ome_hireOptionsNormal,HireOptionSet,CallEvent $ome_eventRef canAfford $id,,,"0:ome_hireYes:""좋습니다.""1:ome_convEnd:""마음이 바뀌었습니다.""",
ome_hireOptionsCantAfford,HireOptionSet,,,,"0:ome_convEnd:""지금은 그만한 여유가 없습니다.""",
sal_hostileNearby,SalvageCheckHostile,HostileFleetNearbyAndAware,SetShortcut defaultLeave ESCAPE,"A nearby hostile fleet is tracking your movements, making exploration impossible.",100:defaultLeave:떠나기,
pods_leave,CargoPodsOptions,,SetShortcut defaultLeave ESCAPE,,100:defaultLeave:떠나기,
lppBeholderShrineVisit,DialogOptionSelected,$option == lpp_beholderShrineVisit,,"The attendant receives your request with only the subtlest disapproval. To your surprise, a subcurate approaches to escort you to the shrine's viewing chamber.A vast, dim gallery opens upon a hundred-meter diamond plate window allowing a full view of the glory of Kumari Aru. Here, pilgrims quietly contemplate the miracle of Creation, taking in the sublime and terrible beauty of the gas giant looming below. Storm systems the size of a standard terrestrial world churn with slow majesty, inner-lit with green-violet sheet lightning, teeming with xenolife.Does something incomprehensible look up from the lee of a dark cloudbank at the bright point in that alien sky?",beholderShrineLeave1:떠나기,
lppGileadShrineStartHubTextB,LPPGileadShrineStartHubA,$player.atrocities > 1 score:100,,"One such stony-faced attendant, flanked by Knights of Ludd in gleaming powered armor, meets your shuttle on the pad.""We do not welcome those who have done what you have done, Captain $playerName,"" the attendant says. ""Please leave now.""They appear unyielding and perhaps even consider standing up to you a righteous test of their devotion.",lpp_gileadShrineEarlyLeave:떠나기,
lppGileadShrineStartHubTextC,LPPGileadShrineStartHubA,RepLTE luddic_church INHOSPITABLE score:50,,"One such stony-faced attendant, flanked by Knights of Ludd in gleaming powered armor, meets your shuttle on the pad.""We do not welcome those who have done what you have done, Captain $playerName,"" the attendant says. ""Please leave now.""They appear unyielding and perhaps even consider standing up to you a righteous test of their devotion.",lpp_gileadShrineEarlyLeave:떠나기,
lppGileadShrineStartHubResponse3,LPPGileadShrineStartHub,,,,lpp_gileadShrineEarlyLeave:떠나기,
lppJaspisWrapUp4a,DialogOptionSelected,$option == lpp_jaspisWrapUp4a,,"She hrums in acknowledgement, attention focused elsewhere now, opening her book with one hand and placing the other upon its open face.",lpp_jaspisWrapUp5:떠나기,
lppJaspisWrapUp4b,DialogOptionSelected,$option == lpp_jaspisWrapUp4b,,"""With such haste?"" she says, ""You need not play-act enthusiasm to impress me. My opinion has always held that decisions of great import should be given ample time to steep.""""Gift me now with silence,"" she says as she opens her book with one hand and places the other upon its open face.",lpp_jaspisWrapUp5:떠나기,
lppJaspisWrapUp4c,DialogOptionSelected,$option == lpp_jaspisWrapUp4c,,"""Your posturing is best held within, captain."" She opens her book with one hand and places the other upon its open face, ""Then diffused through meditation,"" she says.After a moment she adds, ""Unless self-flagellation is your preferred expression of zeal. I judge not.""",lpp_jaspisWrapUp5:떠나기,
lppVolturnOfficialResponseLeave,LPPVolturnOfficialConvo,,,,lpp_volturnOfficialEarlyLeave:떠나기,
lppVolturnCurateResponses2SDg,LPPVolturnCurateResponses2SD,,,,lpp_volturnShrineFirstLeave1:떠나기,
lppVolturnCurateSDstubborn2,DialogOptionSelected,$option == lpp_volturnCurateSDstubborn2,$global.lpp_willTalkToSomeoneOnCruor = true,"""You... do that,"" the curate says haltingly, not looking at you.""Now please go.""",lpp_volturnShrineFirstLeave1:떠나기,
lppVolturnCurateResponses2i,LPPVolturnCurateResponses2,$canLeave,,,lpp_volturnShrineFirstLeave1:떠나기 the shrine,
lppVolturnShrineRevisitCandle,DialogOptionSelected,$option == lpp_volturnShrineRevisitCandle,,"You light the candle from one that still burns, bringing one of its companions back to life and carrying on its flame.",shrineDoLeave:떠나기,
killaOverrideLeave,PopulateKillaOptions,,"SetShortcut defaultLeave ""ESCAPE""",,100:defaultLeave:떠나기,
lppJangalaProtestRespInfo,PPJangalaProtestResponses,!$askedProtestInfo,,,"lpp_jangalaProtestInfo:""순례자들이요? 여기에 성지가 있나요?""",
lppJangalaProtestRespHeg,PPJangalaProtestResponses,$player.fcm_faction == hegemony,,,lpp_jangalaProtestInfoHegCom:헤게모니와의 위임을 이용해 통과하기,
lppJangalaProtestRespChurch,PPJangalaProtestResponses,RepGTE luddic_church FRIENDLY,,,lpp_jangalaProtestChurch1:러딕 교회와의 관계를 이용해 통과하기,
lppJangalaProtestRespWait,PPJangalaProtestResponses,,,,lpp_jangalaProtestWait:당국이 항의를 해산할 때까지 기다리기,
lppJangalaProtestRespJoin,PPJangalaProtestResponses,# require some legitimacy here?,,,lpp_jangalaProtestJoin:시위대에 합류해 함께 버티기,
lppJangalaProtestRespMarines,PPJangalaProtestResponses,$player.marines > 11,,,lpp_jangalaProtestMarines:해병대를 동원해 지금 당장 밀고 지나가기,
lppJangalaProtestWait2,DialogOptionSelected,$option == lpp_jangalaProtestWait2,,"꾸준한 전진이 항의 대열을 흩어버립니다, 충격봉이 올라가며 내려오며 고함과 비명을 잠재웁니다. 진압 가스 사이로 보기 어렵지만, 드론들이 저항하는 이들에게 구속 폼을 분사하는 것이 어렴풋이 보입니다.",lpp_jangalaProtestEndGeneric:계속,
lppJangalaProtestMarinesHelpHegNo,DialogOptionSelected,$option == lpp_jangalaProtestMarinesHelpNo,FireAll PPJangalaProtestResponses,"$rank이 멍하니 고개를 끄덕입니다. ""원하시는 대로 하세요, 함장님.""",,
lppJangalaProtestInfoHegCom,DialogOptionSelected,$option == lpp_jangalaProtestInfoHegCom,,"""이런 상황에 죄송합니다,"" $heOrShe가 항의를 가리킵니다. ""이렇게 하죠— 당신과 당신 승무원을 보안 통로로 안내해드릴 수 있습니다. 이 소동을 기다릴 필요 없도록요.""","lpp_jangalaProtestInfoHegCom2:수락lpp_jangalaProtestInfoHegComWait:""감사하지만, 기다리겠습니다.""",
lppJangalaProtestJoin2,DialogOptionSelected,$option == lpp_jangalaProtestJoin2,,"나중에, 동료 시위대와 멍과 상처를 비교합니다. 경호원들이 비범한 상황에 훌륭히 대응하며, 헌병대의 구타와 진압 가스, 구속 폼의 가장 심한 것으로부터 당신을 막아냈습니다.",lpp_jangalaProtestJoinSupport:비신자이지만 그들의 권리를 지지한다,
lppJangalaProtestWrapup2,DialogOptionSelected,$option == lpp_jangalaProtestWrapup2,AdjustRepActivePerson SUSPICIOUS -3,"다시 $rank $personName입니다, $hisOrHer 태도가 차갑고 군인 같습니다.""규칙은 간단합니다, 함장님,"" $heOrShe가 얼음처럼 말합니다, ""그리고 우리는 당신에게 매우, 매우 관대했습니다. 하지만 의사소통에 문제가 있는 것 같군요""",lpp_jangalaProtestWrapup3:계속,
lppJangalaProtestMarines,DialogOptionSelected,$option == lpp_jangalaProtestMarines,,항구 규정에 따라 무기와 탄약을 제거한 당신 해병대의 소규모 분대를 $shipOrFleet에서 빠른 셔틀로 명령합니다.,,
lppJangalaProtestMarines2,DialogOptionSelected,$option == lpp_jangalaProtestMarines2,,"시위대의 대열이 당신의 기갑 해병대에 쉽게 무너집니다, 팔다리 몇 개도 함께. 뮤니섹 경비원들이 상황을 이용해 시위대를— 이제 울고, 소리 지르고, 한국어와 표준어로 당신에게 욕설을 퍼붓는— 포위합니다.",lpp_jangalaProtestMarines3:계속,
lppJangalaProtestMarines4,DialogOptionSelected,$option == lpp_jangalaProtestMarines4,FireAll PopulateOptions,상업 프롬나드에 발을 들이자 승무원들과 현지인들이 손가락으로 가리키며 응시하는 것이 보입니다. 일부는 데이터패드를 들고 홀로를 녹화하고 있습니다...,,
lppJangalaFirstVisit2,DialogOptionSelected,$option == lpp_JangalaFirstVisit2,,"셔틀이 진짜 대기권 경계에 부딪히며 음색이 바뀌고, 빠르게 구름층 속으로 들어갑니다. 창문 너머의 육안 가시도는 거의 제로에 가깝습니다. 셔틀이 착륙을 위해 역추진기를 분사하며",lpp_JangalaFirstVisit3:계속,
lppJangalaFirstVisit2b,DialogOptionSelected,$option == lpp_JangalaFirstVisit2b,,빠른 데이터패드 검색으로 통계적으로 잔갈란 생물권 내 인간 활동은 적절한 공기 여과 및 오염 제거 절차를 따르는 한 비교적 안전하다는 것이 나타납니다. 우발적 노출에 대한 해독 약은 쉽게 구할 수 있습니다.,"lpp_JangalaFirstVisit3:충분합니다, 꺼주세요lpp_JangalaFirstVisit2c:사진 보기",
lppJangalaFirstVisit2c,DialogOptionSelected,$option == lpp_JangalaFirstVisit2c,,"—적어도, 공개 정보망에서 구할 수 있는 홀로들을 보면 그런데, 실제로 처참하군요.냉소적인 일부분의 당신이 당국이 프로토콜 준수를 장려하기 위해 이런 생생한 기록의 배포를 허용하는 건 아닐까 의아해합니다.",lpp_JangalaFirstVisit3:계속,
lppJangalaFirstVisit3,DialogOptionSelected,$option == lpp_JangalaFirstVisit3,,"셔틀이 착륙 패드로 하강합니다, 잔갈란 식물이 자신의 재를 뚫고 공간을 되찾으며 밀려들고 있습니다.항산화제 표준 복용량을 삼키고, 접근 통로가 잠깐 내부 여압 처리를 완료하는 동안 호흡 마스크의 품질을 다시 점검합니다.",lpp_JangalaEnter1:성지 단지에 진입하기,
lppJangalaShrineDesc1,DialogOptionSelected,$option == lpp_JangalaEnter1,ShowImageVisual luddic_shrine,"접수 라운지는 전통 수직 방식으로 짠 옷을 입은 러딕 순례자 일행들로 가득하고, 하위 사제들이 의례적인 손 씻기를 이끌고 있습니다. 위를 힐끗 보니 진정한 정화가 드러납니다: 중얼거리는 덕트 엉킴 속에 설치된 공기 정화 장치들.",lpp_jangalaShrineDesc2:계속,
lppJangalaAttendantRespC,LPPJangalaAttendantResponses,,,,lpp_jangalaattendantVisit:성지 방문하기,
lppJangalaAttendantRespA,LPPJangalaAttendantResponses,!$entity.lppShrineSaidBadPlace,,,"lpp_jangalaShrineDifficult:""여기에 성지를 유지하기가... 어렵겠군요.""",
lppJangalaAttendantRespB,LPPJangalaAttendantResponses,!$entity.lppShrineSaidBadPlace,,,"lpp_jangalaShrineTerrible:""이런 곳에 성지를 두다니 끔찍한 것 같군요.""",
lppJangalaAttendantRespD,LPPJangalaAttendantResponses,,,,lpp_jangalaShrineLeaveNoHook:떠나기,
lppJangalaShrineDifficult,DialogOptionSelected,$option == lpp_jangalaShrineDifficult,$entity.lppShrineSaidBadPlace = true,"""신성한 것 앞에 나아가는 것은 편의의 문제가 아닙니다,"" 안내원이 평온하게 말합니다. ""이곳에서 예배하기 위해 고생해야 한다는 사실이 그 행위에 특별한 자기 성찰의 감각을 부여한다고 생각합니다.""","lpp_jangalaattendantFoolish:""어리석은 것 같군요.""lpp_jangalaattendantUnprotected:""일부 순례자들이 마스크 없이 외출한다고 들었습니다.""lpp_jangalaattendantVisit:""성지를 방문하고 싶습니다.""",
lppJangalaAttendantFoolish,DialogOptionSelected,$option == lpp_jangalaattendantFoolish,$wasAnnoying = true 1,"""그럴 수도 있죠."" 안내원이 약간 냉정해지며, ""루드가 말씀하시기를, '마음에 믿음을 완전히 진실되게 품는 것은 혀의 채찍에 의한 작은 잔혹함을 초대합니다.'""""루드가 다음에 뭐라고 하셨는지 아세요?,"" 그들이 반어적으로 묻습니다, ""'믿음을 갑옷 삼아; 그것이 삶의 허풍을 막아줄 것이다.'""","lpp_jangalaattendantVisit:""성지를 방문하고 싶습니다.""lpp_jangalaShrineLeaveNoHook:떠나기",
lppJangalaattendantUnprotected,DialogOptionSelected,$option == lpp_jangalaattendantUnprotected,,"""네, 맞습니다."" 안내원이 약간 냉정해지며 당신의 동기를 의심합니다. ""우리는 음, 구경꾼들을 막으려고 합니다. 예배를 방해하거든요, 아시다시피.""","lpp_jangalaattendantVisitOutside:""저는 구경꾼이 아닙니다, 하지만 이 경험을 하고 싶습니다.""lpp_jangalaattendantVisitOutsideB:""저는 구경꾼이 아닙니다. 믿음을 시험하고 싶습니다.""lpp_jangalaattendantVisit:""성지를 방문하고 싶습니다.""",
lppJangalaattendantVisit,DialogOptionSelected,$option == lpp_jangalaattendantVisit,,"""네, 물론이죠. 순례자든 아니든 모든 분들께 내부 성지를 방문하기 전 간단한 정화에 참여해 달라고 요청하는 세정소로 안내해 드리겠습니다.""안내원이 당신을 신도 무리로 안내하기 시작합니다.","lpp_jangalaVisitShrine:계속lpp_jangalaattendantVisitOutside:""외부를 말하는 겁니다. 진짜 성지요.""lpp_jangalaShrineLeaveNoHook:대신 떠나기",
lppJangalaattendantOutsideChoice,DialogOptionSelected,$option == lpp_jangalaattendantOutsideChoice,,,"lpp_jangalaVisitShrine:""다시 생각해보니, 내부 성지를 보여주세요.""lpp_jangalaattendantVisitOutside2:""네. 외부로 나가고 싶습니다.""lpp_jangalaShrineLeave:대신 떠나기",
lppJangalaattendantVisitOutsideC2,DialogOptionSelected,$option == lpp_jangalaattendantVisitOutsideC2,,"""이제 그만하게, 아이야,"" 사제가 부드러운 말 아래 철을 숨기며 말합니다, ""함장님과 이야기하는 동안 예배당에서 참회 기도를 드리는 건 어떨까.""부끄러워하며 안내원이 허리를 굽히고 달아납니다. 사제가 당신에게 돌아섭니다.",lpp_jangalaVisitShrine:사제를 따라가기,
lppJangalaVisitShrine,DialogOptionSelected,$option == lpp_jangalaVisitShrine,ShowImageVisual jangala_shrine,"두꺼운 커튼을 지나 안내받습니다. 순례자들의 중얼거림이 잦아들고, 모든 인공 조명이 차단됩니다.눈이 성지 방에 적응하며, 다이아몬드 매트릭스의 광택 유리 앞에 무릎 꿇고 있는 실루엣 순례자들의 줄이 보입니다, 밖의 병든 황록빛 구름 덮개에 의해 빛납니다.",lpp_jangalaVisitShrine2:계속,
lppJangalaShrineVisitAgain,DialogOptionSelected,$option == lpp_jangalaShrineVisitAgain,ShowImageVisual jangala_shrine,"중얼거림을 잦아들게 하고 모든 인공 조명을 차단하는 두꺼운 커튼을 지나 안내받습니다. 성지 방에서 순례자들이 무릎을 꿇고, 밖의 병든 황록빛 구름 덮개에 의해 빛나는 유리 앞에 실루엣을 드리웁니다.저편에, 당신은",lpp_jangalaShrineLeave:접수 홀로 돌아가기,
lppJangalaVisitOutside2,DialogOptionSelected,$option == lpp_jangalaattendantVisitOutside2,ShowImageVisual jangala_shrine,"환경 잠금장치에서 공기가 따뜻하고 습하게 당신을 덮칩니다, 고중력 충격 폼처럼. 이렇게 하는 법이니, 혼자 밖으로 나섭니다.성지 단지에서 스며 나오는 그물들; 이 세계의 햇빛이라고 할 수 있는 것 속에서 빛나는 선명한 색의 전구를 키우는 근경들.","lpp_jangalaOutsideMaskOff:마스크를 벗으세요. 믿음을 가지세요.lpp_jangalaOutsideMaskOn:그냥 쓰고 있으세요, 바보가 아니잖아요.",
lppJangalaOutsideMaskOff,DialogOptionSelected,$option == lpp_jangalaOutsideMaskOff,$maskOff = true 1,"손을 들어 마스크를 벗고, 잔갈라의 공기를 들이마십니다. 처음엔 얕게, 그러다가 더 깊게. 향신료와 썩은 것과 암모니아와 신선한 녹색의 냄새들. 무슨 일이 일어나든, 즉사하지 않을 것이고 일어나는 모든 것은 돌이킬 수 있다는 것을 압니다.",lpp_jangalaOutsideMaskOff1:합류하기,
lppJangalaOutsideMaskOff2,DialogOptionSelected,$option == lpp_jangalaOutsideMaskOff2,,"녹색이 보이지 않게 소용돌이치며, 모든 것을 삼키고, 맹렬하게 재생하며, 지구나 외계 세계에서 태어날 수 있는 생명의 순환입니다.그리고 당신은 그 안에 있습니다, 모든 공포와 안락함과 함께.",lpp_jangalaShrineExtLeave:단지 내부로 돌아가기,
lppJangalaOutsideMaskOn,DialogOptionSelected,$option == lpp_jangalaOutsideMaskOn,,"들었던 짧은 길을 따라갑니다; 거의 무성하게 자란 것처럼 보입니다. 따라가며, 더듬이와 덩굴이 당신을 스칩니다.다른 이들이 있습니다. 마스크 없는 순례자들, 빨개진 눈에서 눈물이 흐르고 코에서 점액이 흘러내리며, 피부가 얼룩덜룩하고 희",lpp_jangalaOutsideMaskOn2:계속,
lppJangalaOutsideMaskOn3,DialogOptionSelected,$option == lpp_jangalaOutsideMaskOn3,,"당신이 머무는 동안 녹색이 거의 눈에 띄지 않게 소용돌이치며, 모든 것을 삼키고, 맹렬하게 재생하며, 지구나 외계 세계에서 태어날 수 있는 생명의 순환입니다.",lpp_jangalaShrineExtLeave:단지 내부로 돌아가기,
lppJangalaShrineExteriorLeaveB,LPPJangalaOutsideReturnComment,$maskOff,,"숨쉬는 것이 아직도 이상하게 느껴집니다. 매 호흡을 생각해야 합니다, 폐를 채우고, 비우고.",,
