id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"검증된 무기 시스템으로, 폭탄창에는 발사 함선의 속도를 이용해 목표물에 도달하는 다수의 탄두가 탑재됩니다. 각 폭탄창에는 한 번에 하나씩 투하할 수 있는 비유도 고폭 컴프-X 폭탄이 탑재됩니다. 폭탄에는 추진 시스템이 없으며 목표물에 도달하기 위해 발사 함선의 속도에 의존합니다(급강하 폭격). 설계에 내재된 대기 차폐막이 폭탄의 점방어 환경에서 생존 시간을 높여줍니다.",,,,,
lightneedler,WEAPON,"높은 발사 속도로 소형 플레체트 집속탄을 발사합니다. 대규모 발사량으로 방어막 발생기를 빠르게 압도할 수 있지만, 장갑에는 일반적으로 비효과적입니다. 경기관총은 무탄피 탄약을 발사하도록 설계된 소구경 플레체트 건입니다. 초당 수백 발의 '바늘'을 전달할 수 있는 인상적인 급탄 시스템이 특징입니다. 배출기 시스템이 필요 없어 확보된 공간에 추가 냉각 장치를 장착하여 발사 속도를 크게 향상시킵니다.",,,,,
railgun,WEAPON,"오토캐논의 첨단 개선형으로, 정확한 중거리 탄환을 발사합니다. 오토캐논처럼 적 방어막 발생기를 압도하는 데 탁월합니다. 가우스 캐논의 소형화 버전인 레일건은 강력한 자기장을 이용해 포탄을 고속으로 발사합니다. 정확도와 사거리가 뛰어나며, 발사하지 않는 동안 포탑이 빠르게 회전할 수 있습니다. 충분한 플럭스 여유가 있는 포술 장교들이 오토캐논보다 선호합니다.",,,,,
shredder,WEAPON,"조작 용이성과 신뢰성을 위해 넉넉하게 설계된 회전식 캐논입니다. 구역 정규 해군의 무기 담당자들은 불량한 정비 습관을 용납하는 이 무기를 저주합니다. 소규모 탑재 중속 파편 탄환의 압도적인 연사로 미사일과 전투기를 파괴합니다. 플럭스 효율이 좋지만, 장갑과 방어막에는 효과가 거의 없습니다.",,,,,
flak,WEAPON,"근접 신관이 장착된 파편 포탄을 발사하여 전투기와 미사일에 최대 효과를 내는 방어 무기 시스템입니다. 붕괴 이전 소형 저가 전투기, 특히 공격 역할에서의 부상으로 이 무기 시스템이 더 널리 배치되었습니다. 근접 신관이 장착된 탄도 탄환을 발사합니다. 결과적인 폭발은 넓은 범위에 플레체트 세례를 퍼부어 표준 목표물에 상당한 살상 반경을 갖습니다.",,,,,
heavymg,WEAPON,"경기관총 계열의 대형 버전으로, 소형 및 중형 목표물 모두에 효과적입니다. 구역 전반의 순찰 함선들의 주력 무기로, 구지구 시대까지 거슬러 올라가는 안정적인 블로우백 발사 메커니즘이 특징입니다. 탄약은 표준 단조기로 쉽게 제작 가능합니다. 무거운 탄환은 경량 탄약처럼 충격 시 파열되지 않아 프리깃급 함선에 실질적인 위협이 됩니다. 매우 정확하지만 벌칸 캐논보다 발사 속도가 느립니다. 점방어 역할에 탁월합니다.",,,,,
arbalest,WEAPON,크기 대비 발사당 피해가 높은 구식 무기 설계입니다. 운동 포탄이 적 방어막에 특히 효과적입니다. 붕괴 당시 중형 순찰 함선 대부분이 아발레스트 Mk I 플랫폼을 장착했습니다. 이는 아발레스트가 구역에서 가장 많이 수거된 함선 무기 시스템 중 하나로 알려진 이유입니다. 원시적인 냉각 시스템과 자동 배출기 부재로 발사 속도와 신뢰성이 저하됩니다. 유일한 장점은 적 방어막을 효과적으로 무력화하는 아발레스트 탄환의 설계도가 널리 보급되어 있다는 것입니다.,,,,,
dualflak,WEAPON,"플랙 캐논의 업그레이드된 무자비하게 효과적인 쌍발 탑재형입니다. 들어오는 전투기를 찢어버리는 능력으로 '미망인 제조기'라는 별명이 붙었습니다. 표준 플랙 캐논과 마찬가지로 소형 전투기와 미사일 목표물을 초토화하지만, 두 발의 근접 신관 탄환을 발사합니다. 형상 분산으로 이중 폭발과 더 높은 살상 반경을 보장합니다. 명백한 이유로 쌍발 플랙이 장착된 함선에 전투기를 의도적으로 발진시키는 경우는 드뭅니다.",,,,,
chaingun,WEAPON,"GA-X 인더스트리 Mk. II 체인건은 정확도보다 전체 피해와 발사량이 더 중요한 근거리 전투에서 탁월합니다. '접근전' 함장이 가장 좋아하는 도구로, 강력한 발사 속도로 고폭 성형 탄환을 목표물에 퍼붓습니다. 동력 급탄 및 배출 시스템과 포신에 내장된 고급 나노 냉각 장치가 특징입니다. 유일한 단점은 무거운 포탑 프로필로, 호환 불가능한 회전 장치에 장착되는 경우가 많아 예상보다 포탑 회전 속도가 낮습니다.",,,,,
heavymauler,WEAPON,"장거리에서 장갑판을 관통하도록 설계된 고급 무기 시스템입니다. 지속 발사 속도는 낮지만 연사당 피해가 높습니다. 중형 헤비 몰러는 중장거리 목표물과 교전하도록 설계된 강력한 무기입니다. 핵심은 나노 냉각 시스템과 외부 배출구가 달린 오토캐논이지만, 일반 오토캐논과 달리 표준 우주선 연료를 미량 소비하는 반물질 포신 충전기가 특징입니다. 발사실을 떠날 때 각 포탄 탄두는 바리온 코팅으로 안정화된 반양성자 '외피'로 충전됩니다. 목표물에 충격 시 이 반양성자 외피가 구조적 무결성을 잃고 결과적인 반응이 추가 피해를 입힙니다. 포탄 자체도 이미 인상적인 파괴력을 전달하므로, 결합된 반응으로 장갑 목표물에 특히 효과적입니다.",,,,,
heavyac,WEAPON,"중거리에서 표준화된 포탄 연사를 발사하는 삼열 캐논입니다. 적 방어막에 가장 효과적입니다. 중구경 삼열 오토캐논으로 중구경 탄약으로 통상 배치됩니다. 전기 점화 발화 신관으로 정밀한 발사 횟수를 보장합니다. 우수한 화력 지원 무기로, 보통 구축함과 순양함급 함선에 장착됩니다. 적절한 사격 해법을 갖춘 중기관총 포대는 수도함에도 심각한 위협이 될 수 있습니다. 복잡한 자동 급탄 장치와 냉각 시스템을 수용하기 위한 추가 중량으로 인해 회전 속도가 매우 낮습니다.",,,,,
hveldriver,WEAPON,원거리에서 적 시스템을 과부하시키고 비활성화하도록 설계된 특수 무기입니다. 고속 두라늄 탄환은 방어막에도 효과적입니다. 초고속 드라이버는 2단계 공정으로 자화된 철-코발트 핵을 가진 두라늄 탄환을 매우 높은 속도로 가속합니다. 화학 장약이 먼저 탄환을 가속한 다음 자기 코일이 인계받아 탄환을 더욱 가속하고 비행을 안정화합니다. 탄환은 목표물에 도달할 때쯤 고도로 충전되어 충격 시 상당한 전자기 간섭을 일으킵니다.,,,,,
heavyneedler,WEAPON,"더 무거운 베이스가 달린 경기관총의 쌍발 탑재형으로, 이 고급 무기 시스템은 방어막 발생기를 빠르게 압도할 수 있습니다. 중기관총은 소형 플레체트 탄환을 발사하는 고급 무기입니다. 경기관총보다 개선된 급탄 및 냉각 시스템으로 더욱 높은 발사 속도를 구현합니다. 탄환은 경량 버전과 동일한 무탄피 텅스텐 피복 플레체트입니다.",,,,,
gauss,WEAPON,"목표물의 방어막을 과부하시키도록 설계된 장거리 무기입니다. 발사되는 무거운 운동 탄환은 가장 두꺼운 장갑을 제외한 모든 장갑에도 효과적입니다. 자기 코일을 사용하여 대형 초고밀도 복합 탄환을 상대론적 속도로 가속합니다. 통상 수백 기가 암페어 범위이며, 테라 암페어를 초과하는 경우는 드뭅니다. 대부분의 탄도 무기와 달리 발사 시 플럭스 부하가 매우 높습니다. 이 시스템이 장착된 포탑은 회전 속도가 극도로 낮습니다. 매우 효과적인 무기이지만, 일반적으로 대형 탄도 무기 탑재 지점을 갖춘 함선의 낮은 반응로 출력으로 인해 활용도가 제한됩니다.",,,,,
hephag,WEAPON,"좋은 운용 사거리를 갖춘 대형 탄도 포 시스템으로, 고폭 성형 탄환이 중장갑을 파괴하도록 설계되었습니다. 원시 피해 출력으로 약한 방어막 방출기를 압도할 수도 있습니다. 나노단조기의 먼 전신과 관련된 구지구 신의 이름을 딴 헤파이스토스 공격포는 정말 강력한 무기 플랫폼입니다. 전형적인 차대에는 플럭스 풀이 허용하는 한 높은 발사 속도로 장갑 파괴 탄환을 교대 발사하는 두 개의 L/89 포신이 있습니다. 헤게모니 장교들 사이에 헤파이스토스 반동의 '쿵쿵' 소리를 '헤게모니 해군의 심장 박동'이라 부르는 전통이 있으며, 이에 승무원들이 힘차게 '오라!'로 응답합니다.",,,,,
mark9,WEAPON,"방어막에 가장 효과적으로 사용되는 인상적인 중거리 오토캐논으로, 방어막 없는 선체를 파괴하는 데도 훌륭하게 활약할 수 있습니다. 쌍발 설계와 독특한 이중 장전 시스템으로 대량의 중구경 탄환을 출력할 수 있습니다. 마크 IX 설계도는 페넬로페 별의 중력 우물에서 포획된 표류 잔해에서 처음 재발견되었습니다. 자격 미달 평가자의 서둘러 이루어진 검토 후 — 당시 시대에 선호되던 중장갑 군함에 대한 성능 저하로 인해 마크 IX는 구식으로 간주되었습니다 — 설계도는 경매에 부쳐져 소규모 용병 조직이 구입한 후 잊혀졌습니다. 몇 주기 후 시제품을 제작하고 테스트할 충분한 자본이 확보되었습니다. 마크 IX는 일반적으로 평범하다는 평가를 받았으나, 방어막 있는 목표물에 대한 2차 시험에서 괴멸적인 효과를 보여주었습니다. 이후 마크 IX는 오래지 않아 비밀이 아니게 되었고, 택티스타 컴바인은 구역 전반에 제조권을 수익성 있게 판매했습니다.",,,,,
mjolnir,WEAPON,"강력한 EMP 탑재물과 함께 우수한 피해를 전달하는 정교한 중거리 포 시스템입니다. 묠니르는 전통적인 의미의 캐논이 아닌 자기 중력 투사체입니다. 각 탄약에는 충격 시 파괴적으로 결합하는 소량의 이국적인 응축 물질과 고립된 미세 특이점이 포함되어 있어, 에너지를 임시 중력 렌즈를 통해 집중시킵니다. 국부적인 효과로 일반 물질이 파괴되고 목표 함선 내 무기와 시스템을 비활성화하는 강력한 전자기 펄스(EMP)가 방출됩니다.",,,,,
multineedler,WEAPON,"대부분의 방어막 발생기를 쉽게 압도하는 운동 탄환의 가공할 세례를 발사합니다. 스톰 니들러는 무탄피 소구경 플레체트 탄약을 발사하는 대형 탄도 무기 시스템입니다. 중형 냉각 시스템의 실용적인 한계에 도달한 무탄피 탄약 설계자들은 스톰 니들러의 고급 나노 냉각재 재활용기, 포신별 자화 강선, 자동화 작동으로 더 큰 무기의 새로운 지평을 열었습니다. 지능형 자동 급탄 장치가 탄창에서 정확한 양의 탄약을 꺼내 장전하여, 탑재 함선의 플럭스 용량이 충분하다면 장시간 운용이 가능합니다.",,,,,
hellbore,WEAPON,"느리게 이동하는 플라스마 충전 탄환을 발사하는 거대 캐논입니다. 장갑에 매우 효과적이며 그 아래 남은 선체 구조물을 모두 파괴합니다. 두려움의 대상인 이 무기 플랫폼은 거대한 고폭 성형 탄환을 안전하게 발사할 수 있는 조립 포신 제조의 복잡성으로 인해 좀처럼 배치되지 않습니다. 이 포탄이 목표물에 충격할 때 노이만 효과로 탄두가 용융 금속 제트를 목표물의 장갑 속으로 추진하여 작은 구역을 기화시키고, 선체 균열, 감압, 파편에 의한 광범위한 내부 피해를 야기합니다.",,,,,
reaper,WEAPON,"강력한 탑재 엔진을 갖춘 단발의 파괴적인 위력의 비유도 어뢰입니다. 전형적인 공격 무기인 리퍼 어뢰는 농축 반물질 촉매 핵탄두를 위한 대형 자추진 장갑 비유도 전달 시스템입니다. 놀랍도록 소형인 기폭 장치의 과학은 구역에서 제대로 이해되지 않으며, 도메인 당국이 기밀로 분류한 물리학에 기반한 것으로 추측됩니다. 알려진 것은 점방어 아크를 통과하는 세네 발이 가장 큰 수도함도 파괴하기에 충분하다는 것입니다.",,,,,
atropos,WEAPON,고급 유도 어뢰 랙입니다. 탑재물은 고급 유도 패키지와 기동 시스템의 반응 질량을 위해 일반보다 작습니다. 아트로포스 어뢰는 사거리가 긴 대형 유도 어뢰입니다. 각 랙에는 개별 발사 가능한 두 발의 어뢰가 탑재되어 공격 함장에게 최대한의 유연성을 제공합니다. 유도 시스템을 방해할 수 있는 중입자 간섭으로 인해 반물질 촉매 핵탄두 대신 더 작지만 여전히 강력한 화학 장약을 사용합니다.,,,,,
atropos_single,WEAPON,단발의 고급 유도 어뢰입니다. 탑재물은 고급 유도 패키지와 기동 시스템의 반응 질량을 위해 일반보다 작습니다. 아트로포스 어뢰는 사거리가 긴 대형 유도 어뢰입니다. 유도 시스템을 방해할 수 있는 중입자 간섭으로 인해 반물질 촉매 핵탄두 대신 더 작지만 여전히 강력한 화학 장약을 사용합니다. 이 탑재 지점에는 어뢰가 한 발만 탑재됩니다.,,,,,
swarmer,WEAPON,"단거리 유도 미사일 발사기입니다. 미사일은 기동성 있는 목표물을 요격하도록 설계되어, 프리깃과 전투기 같은 소형 함선에 주로 효과적입니다. 소형 미사일을 연발 발사합니다. 간단한 적외선 시스템이 효과적인 추적을 제공하며 화학 마이크로 스러스터가 뛰어난 기동성을 제공합니다. 수 세기에 걸쳐 실전에서 검증된 진화적 표적화 알고리즘 덕분에 미사일이 목표물 앞을 예측하여 발사됩니다.",,,,,
swarmer_fighter,WEAPON,단거리 유도 미사일 발사기입니다. 미사일은 적 전투기를 요격하고 파괴하도록 설계되었습니다.,,,,,
annihilator,WEAPON,"넓은 범위를 커버하는 비유도 로켓 집중 발사기입니다. 방어막이 내려간 후 적 장갑을 벗겨내는 데 주로 사용됩니다. 하나의 소형 포드에서 일제로 다섯 발의 미사일을 좁게 집중 발사하는 중장거리 로켓입니다. 로켓은 작고 비유도이며, 여분의 공간은 더 큰 탄두와 개선된 추진 시스템, 더 두꺼운 장갑에 활용됩니다. 여러 발이 적중할 가능성이 높아 더 큰 목표물에 잘 통합니다. 로켓 공격은 종종 어뢰 공격 전 점방어 시스템의 효과를 감소시키는 화면으로 사용됩니다.",,,,,
annihilator_fighter,WEAPON,비유도 로켓 일제 발사기입니다. 방어막이 내려간 후 적 장갑을 벗겨내는 데 주로 사용됩니다.,,,,,
annihilatorpod,WEAPON,"비유도 로켓 연속 발사기입니다. 적 장갑을 처리하거나 — 플럭스 비용이 없어 — 지속적인 압박을 가하는 데 유용합니다. 소형 발사기와 동일한 중장거리 로켓이 탑재됩니다. 로켓은 비유도이며, 여분의 공간은 더 큰 탄두와 개선된 추진 시스템, 더 두꺼운 장갑에 활용됩니다. 여러 발이 적중할 가능성이 높아 더 큰 목표물에 잘 통합니다.",,,,,
heatseeker,WEAPON,"목표물의 엔진을 추적하여 강력한 EMP 폭발로 비활성화합니다. 전투 등급 자동 장전 시스템으로 장시간 교전에서도 유용성을 보장합니다. 살라만더 미사일은 두 가지 설계 고려사항을 가진 특수 무기입니다. 첫째는 적 엔진을 향해 유도하면서 다른 잠재적 충격 지점과 점방어 위협을 피하는 극도로 고급화된 추적/표적 메커니즘입니다. 둘째는 운동력이나 폭발력으로 목표물을 파괴하는 대신, 높은 강도의 표적화된 전자기장을 생성하는 특수 탄두 설계입니다. 이러한 필드가 차폐되지 않은 엔진과 선체 구성 요소 근처에 생성되면 모든 전자 장치를 빠르게 무력화합니다.",,,,,
salamanderpod,WEAPON,"목표물의 엔진을 추적하여 강력한 EMP 폭발로 비활성화합니다. 전투 등급 자동 장전 시스템으로 장시간 교전에서도 유용성을 보장합니다. 외부 장착 포드가 더 일반적인 미사일 랙을 대체하여 두 발의 미사일을 거의 동시에 발사할 수 있게 합니다. 자동 장전기가 짧은 대기 후 다음 두 발의 미사일을 꺼내 무장하고 준비합니다. 살라만더 미사일은 두 가지 설계 고려사항을 가진 특수 무기입니다. 첫째는 다른 잠재적 충격 지점과 점방어 위협을 피하면서 적 엔진을 향해 유도하는 극도로 고급화된 추적/표적 메커니즘이고, 둘째는 높은 강도의 전자기장을 생성하여 차폐되지 않은 엔진의 모든 전자 장치를 무력화하는 특수 탄두 설계입니다.",,,,,
harpoon,WEAPON,중거리 고탑재 유도 미사일 랙입니다. 방어막이 내려간 함선에 치명적입니다. 세 발 탑재 중거리 미사일입니다. 우수한 추진 시스템이 대형 탄두를 아광속으로 목표물에 전달합니다. 기동성을 희생하고 속도와 탄두 크기를 높인 중거리 미사일은 구역에서 사용되는 비공격급 무기 중 가장 높은 위력을 가집니다. 명중 한 발이 프리깃급 함선에 거의 치명적입니다.,,,,,
harpoonpod,WEAPON,"중거리 고탑재 유도 미사일 포드입니다. 방어막이 내려간 함선에 치명적입니다. 외부 장착 포드가 더 일반적인 미사일 랙을 대체하여 여러 발의 미사일을 거의 동시에 발사할 수 있게 합니다. 자동 장전기가 짧은 대기 후 다음 미사일 일제를 꺼내 무장하고 준비합니다. 이 중거리 미사일은 단발 또는 삼열 랙에서 발사되는 것과 동일하며, 방어막이 내려간 함선을 마무리하는 훌륭한 방법입니다.",,,,,
harpoon_single,WEAPON,"중거리 고탑재 유도 미사일입니다. 방어막이 내려간 함선에 치명적입니다. 우수한 추진 시스템이 대형 탄두를 아광속으로 목표물에 전달합니다. 기동성을 희생하고 속도와 탄두 크기를 높인 중거리 미사일은 구역에서 사용되는 비공격급 무기 중 가장 높은 위력을 가집니다. 명중 한 발이 프리깃급 함선에 거의 치명적입니다. 이 탑재 지점은 한 번에 한 발의 미사일만 발사할 수 있으며, 선체에 매립된 전투 등급 탄창에 예비 한 발이 탑재됩니다.",,,,,
sabot,WEAPON,사거리 내에 있을 때 고속 운동 관통자 집속탄을 발사합니다. 방어막에 큰 피해를 주며 적 선체나 장갑에 충격 시 대규모 EMP 피해를 입힙니다. 점방어로 막기 어렵습니다. 사보트급 미사일은 단거리 2단 운동 에너지 무기입니다. 유도 미사일 1단계가 방어막이 있는 목표물의 타격 거리 내로 2차 어셈블리를 투사합니다. 탑재 표적 컴퓨터가 운동 에너지 관통자의 추진제를 점화합니다. 이 '사보트'는 통상 열화우라늄과 같은 초고밀도 재료로 제작된 좁고 측면 안정화된 투사체입니다. 적 방어막을 무너뜨리고 과부하를 일으키는 데 탁월합니다.,,,,,
sabotpod,WEAPON,사거리 내에 있을 때 고속 운동 관통자 집속탄을 발사합니다. 방어막에 큰 피해를 주며 적 선체나 장갑에 충격 시 대규모 EMP 피해를 입힙니다. 점방어로 막기 어렵습니다. 포드가 더 일반적인 미사일 랙을 대체하여 여러 발의 미사일을 거의 동시에 발사할 수 있게 합니다. 자동 장전기가 짧은 지연 후 다음 미사일 일제를 꺼내 무장하고 준비합니다. 사보트급 미사일은 단거리 2단 운동 에너지 무기입니다. 적 방어막을 무너뜨리고 과부하를 일으키는 데 탁월합니다.,,,,,
sabot_single,WEAPON,"사거리 내에 있을 때 고속 운동 관통자 집속탄을 발사합니다. 방어막에 큰 피해를 주며 적 선체나 장갑에 충격 시 대규모 EMP 피해를 입힙니다. 점방어로 막기 어렵습니다. 사보트급 미사일은 단거리 2단 운동 에너지 무기입니다. 적 방어막을 무너뜨리고 과부하를 일으키는 데 탁월합니다. 이 탑재 지점은 한 발의 미사일만 발사할 수 있으며, 선체에 매립된 전투 등급 탄창에 예비 한 발이 탑재됩니다.",,,,,
sabot_fighter,WEAPON,사거리 내에 있을 때 고속 운동 관통자 집속탄을 발사합니다. 방어막에 큰 피해를 주며 적 선체나 장갑에 충격 시 대규모 EMP 피해를 입힙니다. 점방어로 막기 어렵습니다. 사보트급 미사일은 단거리 2단 운동 에너지 무기입니다. 적 방어막을 무너뜨리고 과부하를 일으키는 데 탁월합니다. 이 탑재 지점에는 미사일이 한 발만 탑재됩니다.,,,,,
breach,WEAPON,장갑이 두껍고 빠르며 우수한 유도 능력과 작은 특수 대장갑 탄두를 가진 미사일입니다.,,,,,
breachpod,WEAPON,장갑이 두껍고 빠르며 우수한 유도 능력과 작은 특수 대장갑 탄두를 가진 미사일입니다.,,,,,
pilum,WEAPON,후방 전투 함선의 장거리 지원에 적합한 2단 미사일입니다. 2단계는 더 높은 최고 속도를 가져 점방어 시스템을 회피할 가능성이 더 높습니다. 기술적으로 성숙한 무기 시스템인 필룸급 미사일은 신중한 함장들의 장거리 공격에 명백한 선택입니다. 탄두는 활성 방어막에 국부적 결함을 일으키는 장치와 이 틈을 통해 적당한 타격을 전달하는 EMP 발생기로 구성됩니다. 미사일의 대형 연료 탱크가 부과하는 제약으로 인해 두 장치 모두 특별히 효과적이지는 않습니다. 전투 등급 자동 장전 시스템으로 장시간 교전에서도 지속적인 유용성을 보장합니다.,,,,,
pilum_large,WEAPON,후방 전투 함선의 장거리 지원에 적합한 2단 미사일입니다. 2단계는 더 높은 최고 속도를 가져 점방어 시스템을 회피할 가능성이 더 높습니다. '투석기' 발사 시스템으로 더 높은 집중 사격이 가능합니다. 기술적으로 성숙한 무기 시스템인 필룸급 미사일은 신중한 함장들의 장거리 공격에 명백한 선택입니다. 탄두는 활성 방어막에 국부적 결함을 일으키는 장치와 EMP 발생기로 구성됩니다. 전투 등급 자동 장전 시스템으로 장시간 교전에서도 지속적인 유용성을 보장합니다.,,,,,
phasecl,WEAPON,인상적인 폭발 반경과 점방어 사격을 무시하는 능력을 가진 저속 근접 기뢰를 배치합니다. 전투기에 특히 치명적이지만 장갑 목표물에도 효과적입니다.,,,,,
phasecl_bomber,WEAPON,인상적인 폭발 반경을 가진 저속 근접 기뢰를 배치합니다. 전투기에 특히 치명적이지만 장갑 목표물에도 효과적입니다.,,,,,
typhoon,WEAPON,이 단순하지만 강력한 무기 시스템은 발사관과 일반적으로 소수의 표준 리퍼급 어뢰를 탑재하는 탄창으로 구성됩니다.,,,,,
cyclone,WEAPON,어뢰 일제 발사가 가능한 이중 발사기 시스템입니다. 제때 피하지 못하는 느린 함선에 치명적입니다. 매우 큰 무기 시스템인 사이클론급 발사기에는 내부 탄창이 있는 두 개의 대형 어뢰 발사관이 있습니다. 사격 통제 시스템이 연결되어 두 발의 리퍼급 어뢰를 동시에 발사합니다. 자동 장전기가 탄창에서 몇 초 내로 다음 일제 발사를 준비합니다.,,,,,
hurricane,WEAPON,목표물에 접근하면 여러 탄두로 분리되는 미사일을 발사합니다. 방어막이 내려간 적에게 특히 치명적입니다. 허리케인 포탑은 자추진 다중 미사일 전달 투사 포드를 발사하도록 설계된 확장 시대 말기 무기입니다. 표적 컴퓨터가 발사 시 명중 해법으로 포드를 프로그래밍합니다. 방출된 소형 미사일 무리는 모든 유형의 함선에 위험합니다. 미사일에는 성형 탄두가 있어 적 장갑에 더 효과적입니다.,,,,,
